 T42A   37.0301  -91.0927 GD 36 36  2.60  0.64    2
 T45A   37.0196  -88.6447 GD 41 41  2.81  0.92    3
 T47A   36.9881  -87.1055 GD 28 28  2.86  1.04    4
 Q41A   38.9539  -91.2317 GD 32 32  3.22  1.52    7
 Q44A   38.9032  -89.0170 GD 44 44  3.30  1.41    8
 Q46A   39.0231  -87.3575 GD 38 38  3.22  1.09    9
 N41A   40.7077  -90.8552 GD 35 35  3.53  1.57   12
 N43A   40.9394  -89.1735 GD 44 44  3.70  1.48   13
 N46A   40.8949  -86.7352 GD 26 26  3.80  1.10   14
 K40A   42.6999  -91.1383 GD 34 34  4.19  1.49   17
 J42A   43.3179  -89.1234 GD 38 38  3.81  1.00   18
 SPMN   45.2246  -92.8037 GD 19 19  3.88  1.06   21
 G39A   45.2867  -91.1698 GD 29 29  3.71  0.99   22
 G41A   45.2118  -89.1816 GD 36 36  3.61  0.94   23
 D41A   47.0605  -88.5657 GD 18 18  3.24  0.62   28
