 OHAK   57.2225 -153.2875 GD 26 26  2.60  0.80   26
 Q18K   58.6484 -155.0086 GD 48 48  3.38  1.47   42
 AUSB   59.3330 -153.4284 GD 59 59  3.88  1.73   43
 SPWE   61.2735 -152.5590 GD 64 64  3.93  1.39   60
 CAPN   60.7683 -151.1539 GD 66 66  3.87  1.35   61
  GLI   60.8792 -147.0959 GD 55 55  4.53  1.42   63
  BMR   60.9677 -144.6051 GD 53 53  4.64  1.29   64
  CRQ   60.7523 -143.0926 GD 50 50  5.07  1.72   65
 LOGN   60.8240 -141.0048 GD 44 44  5.46  2.48   66
 BRWY   61.3704 -139.0338 GD 31 31  5.81  2.89   67
 L22K   62.5258 -150.7703 GD 52 52  4.20  1.32   78
 WAT7   62.8331 -148.8476 GD 64 64  4.16  1.29   79
  DHY   63.0753 -147.3759 GD 55 55  3.96  1.20   80
 L26K   63.0254 -143.3478 GD 44 44  4.64  1.45   82
  MLY   65.0304 -150.7442 GD 36 36  3.72  1.20   95
 I23K   65.1479 -149.3603 GD 36 36  3.73  1.13   96
 POKR   65.1171 -147.4335 GD 37 37  3.62  1.14   97
 J25K   64.6130 -145.3697 GD 36 36  3.99  1.39   98
 PS05   66.8133 -150.6646 GD 19 19  3.39  1.31  112
  FYU   66.5657 -145.2342 GD 19 19  3.51  1.38  115
