 57 :   60.9668 -157.8900  357.17 :   61.0224 -158.9593  M16K grid:   61.0000 -159.0000 ev:  -21.1300  174.9000  527.0 7.3 dist:   84.99 baz:  205.40 residPP(T/U/B)    6.55 0.03 -2.00 predPP(T/U) 904.40 7.97 measPPBeam(T/U/AMP) 910.95 8.00 -0.235 measPPxf(T/U/F/rB/aB) 906.81 8.00  14.97 -2.00 -157.00 fmin 0.05 fmax 0.50 SNRbeam  2.59 SNRmean  1.49 SNRstdev  0.37 SNRminmax  0.94  2.19 amp: -1.0 -1 SAME : NOCONT   NONE stanum 17	sta O14K P16K P17K N15K M14K L14K O18K M16K O19K N18K K15K N19K L17K L18K M19K L19K J17K notused J17K
 61 :   61.0959 -150.3990  637.64 :   60.7683 -151.1539  CAPN grid:   61.0000 -151.0000 ev:  -21.1300  174.9000  527.0 7.3 dist:   86.84 baz:  212.10 residPP(T/U/B)    2.14 -2.31 -4.00 predPP(T/U) 919.16 7.91 measPPBeam(T/U/AMP) 921.30 5.60 -0.182 measPPxf(T/U/F/rB/aB) 924.66 5.60  24.31 -4.00 -152.00 fmin 0.05 fmax 0.50 SNRbeam  1.02 SNRmean  1.42 SNRstdev  0.44 SNRminmax  0.79  2.64 amp: -0.9 -1 SAME : NOCONT   NONE stanum 39	sta Q19K O18K O19K N18K CNP HOM O20K BRLK N19K BRSE SWD CAPN SLK M19K L19K P23K M20K FIRE RC01 SSN PWL L20K SKN HIN BAT BAE GLI FID KNK GHO VMT L22K SAW CUT M23K SCM WAT7 WAT1 WAT6 notused BAE
 63 :   61.0692 -146.2670  778.04 :   60.8792 -147.0959   GLI grid:   61.0000 -147.0000 ev:  -21.1300  174.9000  527.0 7.3 dist:   87.94 baz:  215.80 residPP(T/U/B)   -0.94 0.32  2.00 predPP(T/U) 927.79 7.88 measPPBeam(T/U/AMP) 926.85 8.20 -0.182 measPPxf(T/U/F/rB/aB) 929.01 8.20  48.62 2.00 -142.00 fmin 0.05 fmax 0.50 SNRbeam  4.74 SNRmean  1.67 SNRstdev  0.64 SNRminmax  0.79  4.12 amp: -0.9 -1 SAME : NOCONT   NONE stanum 61	sta CNP BRLK BRSE SWD CAPN SLK Q23K P23K FIRE RC01 SSN PWL SKN HIN BAT BAE GLI KAI FID KNK EYAK GHO RAG SUCK VMT NICH L22K SAW CUT GOAT BGLC DIV M23K BERG GRIN SCM CYK KHIT BMR KLU WAX BARK PS12 CRQ WAT7 TGL BAGL ISLE WAT1 WAT6 VRDI GLB PS11 KIAG BAL MCAR PTPK DHY HARP PAX M26K notused BAE
 64 :   60.9867 -144.4270  974.47 :   60.9677 -144.6051   BMR grid:   61.0000 -145.0000 ev:  -21.1300  174.9000  527.0 7.3 dist:   88.40 baz:  217.50 residPP(T/U/B)   -0.41 0.14  2.00 predPP(T/U) 931.46 7.86 measPPBeam(T/U/AMP) 931.05 8.00 -0.218 measPPxf(T/U/F/rB/aB) 933.16 8.00  66.72 2.00 -141.00 fmin 0.05 fmax 0.50 SNRbeam  4.31 SNRmean  1.84 SNRstdev  0.68 SNRminmax  0.85  4.12 amp: -0.9 -1 SAME : NOCONT   NONE stanum 60	sta Q23K P23K RC01 PWL HIN BAT BAE GLI KAI FID KNK EYAK GHO RAG SUCK VMT NICH SAW GOAT BGLC DIV M23K BERG GRIN SCM CYK KHIT BMR KLU WAX MESA BARK PS12 CRQ TGL CHX BAGL YAH ISLE WAT6 RKAV SAMH VRDI GLB PS11 KIAG TABL PIN GRNC BAL MCAR PTPK DHY BARN HARP LOGN PAX M26K M27K L26K notused BAE
 65 :   60.8515 -143.7350  969.52 :   60.7523 -143.0926   CRQ grid:   61.0000 -143.0000 ev:  -21.1300  174.9000  527.0 7.3 dist:   88.50 baz:  218.10 residPP(T/U/B)   -0.34 0.15  2.00 predPP(T/U) 932.24 7.85 measPPBeam(T/U/AMP) 931.90 8.00 -0.211 measPPxf(T/U/F/rB/aB) 933.87 8.00  58.49 2.00 -140.00 fmin 0.05 fmax 0.50 SNRbeam  3.80 SNRmean  1.88 SNRstdev  0.67 SNRminmax  1.00  4.12 amp: -0.9 -1 SAME : NOCONT   NONE stanum 53	sta Q23K P23K HIN BAE GLI KAI FID EYAK RAG SUCK VMT NICH GOAT BGLC DIV M23K BERG GRIN SCM CYK KHIT BMR KLU WAX MESA BARK PS12 CRQ TGL CHX BAGL YAH ISLE RKAV SAMH VRDI GLB PS11 KIAG PNL TABL PIN GRNC BAL MCAR PTPK BARN HARP LOGN PAX M26K M27K L26K notused BAE
 66 :   60.7736 -142.9490 1082.32 :   60.8240 -141.0048  LOGN grid:   61.0000 -141.0000 ev:  -21.1300  174.9000  527.0 7.3 dist:   88.68 baz:  218.80 residPP(T/U/B)   -0.28 -0.05  2.00 predPP(T/U) 933.63 7.85 measPPBeam(T/U/AMP) 933.35 7.80 -0.193 measPPxf(T/U/F/rB/aB) 935.44 7.80  38.58 2.00 -139.00 fmin 0.05 fmax 0.50 SNRbeam  2.58 SNRmean  1.97 SNRstdev  0.66 SNRminmax  1.16  4.12 amp: -0.9 -1 SAME : NOCONT   NONE stanum 42	sta KAI EYAK RAG SUCK NICH GOAT BGLC DIV BERG GRIN CYK KHIT BMR KLU WAX MESA BARK PS12 CRQ TGL CHX BAGL YAH ISLE RKAV SAMH VRDI GLB PS11 KIAG PNL TABL PIN GRNC BAL MCAR PTPK BARN LOGN M26K M27K L26K notused BAGL
 78 :   62.4006 -150.0360  765.99 :   62.5258 -150.7703  L22K grid:   63.0000 -151.0000 ev:  -21.1300  174.9000  527.0 7.3 dist:   88.04 baz:  212.40 residPP(T/U/B)  -10.84 -2.07  6.00 predPP(T/U) 928.59 7.87 measPPBeam(T/U/AMP) 917.75 5.80 -0.160 measPPxf(T/U/F/rB/aB) 919.72 5.80  13.73 6.00 -142.00 fmin 0.05 fmax 0.50 SNRbeam  1.10 SNRmean  1.84 SNRstdev  0.83 SNRminmax  0.79  4.41 amp: -0.9 -1 SAME : NOCONT   NONE stanum 39	sta N19K CAPN SLK M19K L19K M20K FIRE RC01 SSN PWL L20K SKN BAT BAE GLI KNK GHO K20K L22K SAW CUT M23K SCM CAST J20K WAT7 CHUM WAT1 WAT6 KTH TRF RND BPAW DHY MCK PAX PS10 NEA2 WRH notused BAE
 79 :   62.7548 -148.4490  718.59 :   62.8331 -148.8476  WAT7 grid:   63.0000 -149.0000 ev:  -21.1300  174.9000  527.0 7.3 dist:   88.73 baz:  213.80 residPP(T/U/B)   -1.86 -0.05  4.00 predPP(T/U) 934.06 7.85 measPPBeam(T/U/AMP) 932.20 7.80 -0.233 measPPxf(T/U/F/rB/aB) 934.70 7.80  34.26 4.00 -142.00 fmin 0.05 fmax 0.50 SNRbeam  7.96 SNRmean  2.02 SNRstdev  0.95 SNRminmax  0.79  4.57 amp: -0.9 -1 SAME : NOCONT   NONE stanum 54	sta CAPN SLK M20K FIRE RC01 SSN PWL L20K SKN BAT BAE GLI FID KNK GHO VMT K20K L22K SAW CUT DIV M23K SCM KLU CAST PS12 WAT7 CHUM WAT1 WAT6 KTH TRF PS11 RND BPAW DHY HARP MCK PAX PS10 MLY NEA2 WRH K24K CCB HDA RIDG I23K DOT PS08 MDM SCRK PS07 J25K notused BAE
 80 :   62.8167 -147.6310  743.57 :   63.0753 -147.3759   DHY grid:   63.0000 -147.0000 ev:  -21.1300  174.9000  527.0 7.3 dist:   89.00 baz:  214.60 residPP(T/U/B)   -1.61 -0.04  4.00 predPP(T/U) 936.11 7.84 measPPBeam(T/U/AMP) 934.50 7.80 -0.248 measPPxf(T/U/F/rB/aB) 936.91 7.80  41.40 4.00 -141.00 fmin 0.05 fmax 0.50 SNRbeam  7.37 SNRmean  2.03 SNRstdev  0.94 SNRminmax  0.79  4.57 amp: -0.9 -1 SAME : NOCONT   NONE stanum 54	sta FIRE RC01 SSN PWL SKN BAT BAE GLI FID KNK GHO VMT L22K SAW CUT DIV M23K SCM BMR KLU CAST PS12 WAT7 CHUM WAT1 WAT6 KTH TRF GLB PS11 RND BPAW DHY HARP MCK PAX M26K PS10 MLY NEA2 WRH K24K L26K CCB HDA RIDG I23K DOT PS08 MDM SCRK PS07 J25K J26L notused BAE
 81 :   62.5143 -146.1890  857.16 :   62.9699 -145.4699   PAX grid:   63.0000 -145.0000 ev:  -21.1300  174.9000  527.0 7.3 dist:   89.13 baz:  215.90 residPP(T/U/B)   -1.21 -0.23  2.00 predPP(T/U) 937.16 7.83 measPPBeam(T/U/AMP) 935.95 7.60 -0.260 measPPxf(T/U/F/rB/aB) 938.28 7.60  52.70 2.00 -142.00 fmin 0.05 fmax 0.50 SNRbeam  4.80 SNRmean  1.98 SNRstdev  0.90 SNRminmax  1.00  4.57 amp: -0.9 -1 SAME : NOCONT   NONE stanum 51	sta BAT BAE GLI FID KNK EYAK GHO VMT L22K SAW CUT GOAT DIV M23K SCM BMR KLU PS12 CRQ WAT7 WAT1 WAT6 TRF VRDI GLB PS11 BAL MCAR PTPK RND DHY HARP MCK PAX M26K PS10 NEA2 M27K WRH K24K L26K CCB HDA RIDG DOT PS08 MDM SCRK J25K J26L K27K notused BAE
 82 :   62.3437 -144.4460 1035.90 :   63.0254 -143.3478  L26K grid:   63.0000 -143.0000 ev:  -21.1300  174.9000  527.0 7.3 dist:   89.47 baz:  217.40 residPP(T/U/B)   -0.91 -0.22  2.00 predPP(T/U) 939.86 7.82 measPPBeam(T/U/AMP) 938.95 7.60 -0.242 measPPxf(T/U/F/rB/aB) 941.37 7.60  33.78 2.00 -141.00 fmin 0.05 fmax 0.50 SNRbeam  4.12 SNRmean  2.10 SNRstdev  0.86 SNRminmax  1.00  4.57 amp: -0.9 -1 SAME : NOCONT   NONE stanum 39	sta VMT DIV M23K SCM BMR KLU PS12 CRQ TGL ISLE WAT1 WAT6 VRDI GLB PS11 KIAG GRNC BAL MCAR PTPK DHY BARN HARP LOGN PAX M26K PS10 M27K K24K L26K HDA RIDG DOT PS08 SCRK J25K J26L K27K I26K notused BAL
