 57 :   60.9668 -157.8900  357.17 :   61.0224 -158.9593  M16K grid:   61.0000 -159.0000 ev:   -4.4500  -76.8100  126.0 7.5 dist:   89.59 baz:  100.00 residPP(T/U/B)    5.89 -0.14 -2.00 predPP(T/U) 975.21 7.94 measPPBeam(T/U/AMP) 981.10 7.80 -0.184 measPPxf(T/U/F/rB/aB) 982.87 7.80  35.84 -2.00 98.00 fmin 0.05 fmax 0.50 SNRbeam 10.02 SNRmean  3.99 SNRstdev  1.60 SNRminmax  1.95  8.49 amp: -0.8 -1 SAME : NOCONT   NONE stanum 17	sta O19K N19K O18K M19K L19K P17K N18K L18K P16K L17K M16K N15K J17K O14K K15K M14K L14K notused J17K
 61 :   61.1226 -150.3810  622.19 :   60.7683 -151.1539  CAPN grid:   61.0000 -151.0000 ev:   -4.4500  -76.8100  126.0 7.5 dist:   86.09 baz:  106.60 residPP(T/U/B)    5.93 -0.26 -2.00 predPP(T/U) 947.22 8.06 measPPBeam(T/U/AMP) 953.15 7.80 -0.212 measPPxf(T/U/F/rB/aB) 955.50 7.80 131.32 -2.00 105.00 fmin 0.05 fmax 0.50 SNRbeam 18.00 SNRmean  3.70 SNRstdev  1.22 SNRminmax  1.62  7.26 amp: -0.8 -1 SAME : NOCONT   NONE stanum 36	sta HIN FID VMT P23K GLI SCM BAE PWL BAT M23K KNK WAT6 SWD SAW GHO WAT1 RC01 SLK WAT7 BRLK FIRE CNP HOM CAPN CUT L22K SKN O20K Q19K M20K O19K N19K L20K O18K M19K L19K N18K notused BAE
 63 :   61.0967 -146.1780  762.42 :   60.8792 -147.0959   GLI grid:   61.0000 -147.0000 ev:   -4.4500  -76.8100  126.0 7.5 dist:   84.15 baz:  110.30 residPP(T/U/B)    6.04 -0.13  0.00 predPP(T/U) 931.56 8.13 measPPBeam(T/U/AMP) 937.60 8.00 -0.154 measPPxf(T/U/F/rB/aB) 939.90 8.00 117.39 0.00 110.00 fmin 0.05 fmax 0.50 SNRbeam 10.53 SNRmean  2.88 SNRstdev  0.96 SNRminmax  1.15  5.43 amp: -0.9 -1 SAME : NOCONT   NONE stanum 57	sta BAGL CYK ISLE KIAG WAX BAL BGLC TGL PTPK GRIN KHIT CRQ SUCK BERG NICH MCAR KAI VRDI RAG GLB M26K GOAT BMR Q23K EYAK PS12 DIV HIN HARP KLU PS11 FID VMT P23K GLI PAX SCM BAE PWL BAT M23K KNK WAT6 DHY SWD SAW GHO WAT1 RC01 SLK WAT7 BRLK FIRE CNP CAPN CUT L22K SKN notused BAE
 64 :   61.0241 -144.5660  945.01 :   60.9677 -144.6051   BMR grid:   61.0000 -145.0000 ev:   -4.4500  -76.8100  126.0 7.5 dist:   83.40 baz:  111.70 residPP(T/U/B)    5.87 0.05 -2.00 predPP(T/U) 925.43 8.15 measPPBeam(T/U/AMP) 931.30 8.20 -0.138 measPPxf(T/U/F/rB/aB) 933.83 8.20  81.70 -2.00 110.00 fmin 0.05 fmax 0.50 SNRbeam  8.30 SNRmean  2.78 SNRstdev  0.85 SNRminmax  1.14  5.43 amp: -0.9 -1 SAME : NOCONT   NONE stanum 57	sta PIN SAMH TABL RKAV LOGN MESA GRNC BAGL CYK BARN ISLE KIAG WAX BAL BGLC TGL PTPK GRIN KHIT CRQ SUCK M27K BERG NICH MCAR KAI VRDI RAG GLB M26K GOAT BMR L26K Q23K EYAK PS12 DIV HIN HARP KLU PS11 FID VMT P23K GLI PAX SCM BAE PWL BAT M23K KNK WAT6 DHY SAW GHO RC01 notused BAE
 65 :   60.8861 -143.8520  935.63 :   60.7523 -143.0926   CRQ grid:   61.0000 -143.0000 ev:   -4.4500  -76.8100  126.0 7.5 dist:   83.03 baz:  112.40 residPP(T/U/B)    5.92 0.03 -2.00 predPP(T/U) 922.38 8.17 measPPBeam(T/U/AMP) 928.30 8.20 -0.132 measPPxf(T/U/F/rB/aB) 930.68 8.20  59.92 -2.00 110.00 fmin 0.05 fmax 0.50 SNRbeam  7.91 SNRmean  2.75 SNRstdev  0.86 SNRminmax  1.14  5.43 amp: -0.9 -1 SAME : NOCONT   NONE stanum 50	sta PNL PIN SAMH TABL RKAV LOGN MESA GRNC BAGL CYK BARN ISLE KIAG WAX BAL BGLC TGL PTPK GRIN KHIT CRQ SUCK M27K BERG NICH MCAR KAI VRDI RAG GLB M26K GOAT BMR L26K Q23K EYAK PS12 DIV HIN HARP KLU PS11 FID VMT P23K GLI PAX SCM BAE M23K notused BAE
 66 :   60.8120 -143.0380 1047.55 :   60.8240 -141.0048  LOGN grid:   61.0000 -141.0000 ev:   -4.4500  -76.8100  126.0 7.5 dist:   82.63 baz:  113.10 residPP(T/U/B)    6.24 0.22 -2.00 predPP(T/U) 919.16 8.18 measPPBeam(T/U/AMP) 925.40 8.40 -0.118 measPPxf(T/U/F/rB/aB) 927.65 8.40  44.55 -2.00 111.00 fmin 0.05 fmax 0.50 SNRbeam  8.13 SNRmean  2.77 SNRstdev  0.82 SNRminmax  1.14  5.42 amp: -0.9 -1 SAME : NOCONT   NONE stanum 39	sta PNL PIN SAMH TABL RKAV LOGN MESA GRNC BAGL CYK BARN ISLE KIAG WAX BAL BGLC TGL PTPK GRIN KHIT CRQ SUCK M27K BERG NICH MCAR KAI VRDI RAG GLB M26K GOAT BMR L26K EYAK PS12 DIV KLU PS11 notused BAGL
 78 :   62.3976 -150.0100  725.83 :   62.5258 -150.7703  L22K grid:   63.0000 -151.0000 ev:   -4.4500  -76.8100  126.0 7.5 dist:   86.29 baz:  107.00 residPP(T/U/B)    5.57 -0.25 -2.00 predPP(T/U) 948.83 8.05 measPPBeam(T/U/AMP) 954.40 7.80 -0.196 measPPxf(T/U/F/rB/aB) 956.48 7.80  94.32 -2.00 105.00 fmin 0.05 fmax 0.50 SNRbeam 14.44 SNRmean  3.52 SNRstdev  1.46 SNRminmax  1.54  7.70 amp: -0.9 -1 SAME : NOCONT   NONE stanum 36	sta GLI PAX PS10 SCM BAE PWL BAT M23K KNK WAT6 DHY SAW GHO WAT1 RC01 SLK WAT7 FIRE RND WRH MCK CAPN CUT NEA2 L22K SKN KTH BPAW CAST M20K CHUM N19K L20K M19K K20K L19K J20K notused BAE
 79 :   62.8107 -148.3510  684.66 :   62.8331 -148.8476  WAT7 grid:   63.0000 -149.0000 ev:   -4.4500  -76.8100  126.0 7.5 dist:   85.69 baz:  108.50 residPP(T/U/B)    5.67 -0.27  0.00 predPP(T/U) 943.98 8.07 measPPBeam(T/U/AMP) 949.65 7.80 -0.165 measPPxf(T/U/F/rB/aB) 951.53 7.80  97.12 0.00 108.00 fmin 0.05 fmax 0.50 SNRbeam  9.76 SNRmean  3.04 SNRstdev  1.12 SNRminmax  1.15  6.19 amp: -0.9 -1 SAME : NOCONT   NONE stanum 52	sta PS12 DIV HARP DOT KLU PS11 FID VMT SCRK GLI PAX RIDG PS10 SCM K24K BAE J25K PWL BAT M23K KNK WAT6 DHY SAW GHO PS08 HDA WAT1 RC01 SLK WAT7 FIRE CCB POKR RND WRH MCK MDM CAPN CUT PS07 NEA2 L22K I23K SKN KTH BPAW MLY CAST M20K CHUM L20K K20K notused BAE
 80 :   62.8737 -147.5190  710.11 :   63.0753 -147.3759   DHY grid:   63.0000 -147.0000 ev:   -4.4500  -76.8100  126.0 7.5 dist:   85.35 baz:  109.20 residPP(T/U/B)    5.66 -0.08 -2.00 predPP(T/U) 941.24 8.08 measPPBeam(T/U/AMP) 946.90 8.00 -0.160 measPPxf(T/U/F/rB/aB) 948.86 8.00 102.27 -2.00 107.00 fmin 0.05 fmax 0.50 SNRbeam  9.92 SNRmean  2.97 SNRstdev  1.06 SNRminmax  1.15  6.17 amp: -0.9 -1 SAME : NOCONT   NONE stanum 53	sta GLB M26K BMR L26K PS12 DIV HARP DOT KLU PS11 FID VMT SCRK J26L GLI PAX RIDG PS10 SCM K24K BAE J25K PWL BAT M23K KNK WAT6 DHY SAW GHO PS08 HDA WAT1 RC01 WAT7 FIRE CCB POKR RND WRH MCK MDM CUT PS07 NEA2 L22K I23K SKN KTH BPAW MLY CAST CHUM notused BAE
 81 :   62.5469 -146.1330  833.42 :   62.9699 -145.4699   PAX grid:   63.0000 -145.0000 ev:   -4.4500  -76.8100  126.0 7.5 dist:   84.64 baz:  110.50 residPP(T/U/B)    5.95 -0.11 -2.00 predPP(T/U) 935.50 8.11 measPPBeam(T/U/AMP) 941.45 8.00 -0.153 measPPxf(T/U/F/rB/aB) 943.34 8.00  92.68 -2.00 108.00 fmin 0.05 fmax 0.50 SNRbeam  8.31 SNRmean  2.78 SNRstdev  0.90 SNRminmax  1.15  5.43 amp: -0.9 -1 SAME : NOCONT   NONE stanum 51	sta BAL PTPK CRQ M27K MCAR VRDI GLB M26K GOAT BMR K27K L26K EYAK PS12 DIV HARP DOT KLU PS11 FID VMT SCRK J26L GLI PAX RIDG PS10 SCM K24K BAE J25K BAT M23K KNK WAT6 DHY SAW GHO PS08 HDA WAT1 WAT7 CCB POKR RND WRH MCK MDM CUT NEA2 L22K notused BAE
 82 :   62.2658 -144.4800 1054.27 :   63.0254 -143.3478  L26K grid:   63.0000 -143.0000 ev:   -4.4500  -76.8100  126.0 7.5 dist:   83.82 baz:  111.90 residPP(T/U/B)    6.17 -0.14 -2.00 predPP(T/U) 928.88 8.14 measPPBeam(T/U/AMP) 935.05 8.00 -0.131 measPPxf(T/U/F/rB/aB) 936.74 8.00  51.11 -2.00 110.00 fmin 0.05 fmax 0.50 SNRbeam  8.28 SNRmean  2.69 SNRstdev  0.95 SNRminmax  1.14  5.43 amp: -0.9 -1 SAME : NOCONT   NONE stanum 38	sta LOGN GRNC BARN ISLE KIAG BAL TGL PTPK CRQ M27K MCAR VRDI GLB M26K BMR K27K L26K PS12 DIV HARP DOT KLU PS11 VMT SCRK J26L PAX RIDG PS10 SCM K24K J25K M23K WAT6 DHY PS08 HDA WAT1 notused BAL
