 57 :   60.8234 -158.3260  326.73 :   61.0224 -158.9593  M16K grid:   61.0000 -159.0000 ev:   -7.5500  127.5800  164.3 7.3 dist:   88.98 baz:  252.50 residPP(T/U/B)   -1.50 -0.15  0.00 predPP(T/U) 966.55 7.95 measPPBeam(T/U/AMP) 965.05 7.80 -0.135 measPPxf(T/U/F/rB/aB) 970.10 7.80  20.78 0.00 -108.00 fmin 0.05 fmax 0.50 SNRbeam  8.77 SNRmean  3.05 SNRstdev  0.62 SNRminmax  1.77  4.25 amp: -0.8 -1 SAME : NOCONT   NONE stanum 15	sta O14K L14K M14K N15K K15K P16K M16K L17K P17K J17K N18K L18K O18K O19K N19K notused J17K
 61 :   61.0700 -150.1380  624.28 :   60.7683 -151.1539  CAPN grid:   61.0000 -151.0000 ev:   -7.5500  127.5800  164.3 7.3 dist:   92.90 baz:  259.60 residPP(T/U/B)    8.60 -1.01  4.00 predPP(T/U) 997.40 7.81 measPPBeam(T/U/AMP) 1006.00 6.80 -0.219 measPPxf(T/U/F/rB/aB) 1007.17 6.80  34.91 4.00 -96.00 fmin 0.05 fmax 0.50 SNRbeam  4.39 SNRmean  2.96 SNRstdev  0.93 SNRminmax  1.68  5.95 amp: -0.8 -1 SAME : NOCONT   NONE stanum 35	sta N18K O18K O19K Q19K N19K L20K O20K M20K HOM CNP BRLK CAPN SKN SLK L22K FIRE SWD CUT RC01 GHO PWL KNK WAT7 BAT BAE SAW WAT1 P23K M23K WAT6 GLI SCM FID HIN VMT notused BAE
 63 :   61.0850 -146.1150  773.11 :   60.8792 -147.0959   GLI grid:   61.0000 -147.0000 ev:   -7.5500  127.5800  164.3 7.3 dist:   94.83 baz:  263.10 residPP(T/U/B)   -5.11 0.07  4.00 predPP(T/U) 1012.36 7.73 measPPBeam(T/U/AMP) 1007.25 7.80 -0.295 measPPxf(T/U/F/rB/aB) 1009.69 7.80  63.27 4.00 -93.00 fmin 0.05 fmax 0.50 SNRbeam  3.85 SNRmean  2.74 SNRstdev  0.90 SNRminmax  1.38  5.92 amp: -0.8 -1 SAME : NOCONT   NONE stanum 59	sta CNP BRLK CAPN SKN SLK L22K FIRE SWD CUT RC01 GHO PWL KNK WAT7 BAT BAE SAW WAT1 P23K M23K WAT6 GLI SCM DHY Q23K FID HIN VMT EYAK KLU DIV PS11 PS12 PAX HARP GOAT RAG KAI BMR NICH SUCK BERG GLB GRIN BGLC VRDI KHIT CRQ MCAR WAX TGL M26K CYK BARK PTPK ISLE KIAG BAL BAGL notused BAE
 64 :   61.0259 -144.5860  940.55 :   60.9677 -144.6051   BMR grid:   61.0000 -145.0000 ev:   -7.5500  127.5800  164.3 7.3 dist:   95.55 baz:  264.40 residPP(T/U/B)   -5.69 0.29  2.00 predPP(T/U) 1017.99 7.71 measPPBeam(T/U/AMP) 1012.30 8.00 -0.331 measPPxf(T/U/F/rB/aB) 1015.23 8.00  80.56 2.00 -94.00 fmin 0.05 fmax 0.50 SNRbeam  4.80 SNRmean  2.90 SNRstdev  0.95 SNRminmax  1.38  5.92 amp: -0.8 -1 SAME : NOCONT   NONE stanum 57	sta RC01 GHO PWL KNK BAT BAE SAW P23K M23K WAT6 GLI SCM DHY Q23K FID HIN VMT EYAK KLU DIV PS11 PS12 PAX HARP GOAT RAG KAI BMR NICH SUCK BERG GLB GRIN BGLC VRDI KHIT CRQ L26K MCAR WAX TGL M26K CYK BARK PTPK ISLE KIAG BAL BAGL MESA GRNC M27K BARN TABL LOGN SAMH PIN notused BAE
 65 :   60.8882 -143.8750  930.55 :   60.7523 -143.0926   CRQ grid:   61.0000 -143.0000 ev:   -7.5500  127.5800  164.3 7.3 dist:   95.89 baz:  265.00 residPP(T/U/B)   -5.50 0.10  2.00 predPP(T/U) 1020.55 7.70 measPPBeam(T/U/AMP) 1015.05 7.80 -0.344 measPPxf(T/U/F/rB/aB) 1019.72 7.80  71.98 2.00 -93.00 fmin 0.05 fmax 0.50 SNRbeam  3.72 SNRmean  2.83 SNRstdev  0.89 SNRminmax  1.38  5.51 amp: -0.8 -1 SAME : NOCONT   NONE stanum 50	sta BAE P23K M23K GLI SCM Q23K FID HIN VMT EYAK KLU DIV PS11 PS12 PAX HARP GOAT RAG KAI BMR NICH SUCK BERG GLB GRIN BGLC VRDI KHIT CRQ L26K MCAR WAX TGL M26K CYK BARK PTPK ISLE KIAG BAL BAGL MESA GRNC M27K BARN TABL LOGN SAMH PIN PNL notused BAE
 66 :   60.8146 -143.0680 1041.04 :   60.8240 -141.0048  LOGN grid:   61.0000 -141.0000 ev:   -7.5500  127.5800  164.3 7.3 dist:   96.27 baz:  265.70 residPP(T/U/B)   -5.57 0.11  2.00 predPP(T/U) 1023.52 7.69 measPPBeam(T/U/AMP) 1017.95 7.80 -0.363 measPPxf(T/U/F/rB/aB) 1028.21 7.80  61.05 2.00 -92.00 fmin 0.05 fmax 0.50 SNRbeam  2.70 SNRmean  2.80 SNRstdev  0.95 SNRminmax  1.38  5.51 amp: -0.8 -1 SAME : NOCONT   NONE stanum 39	sta EYAK KLU DIV PS11 PS12 GOAT RAG KAI BMR NICH SUCK BERG GLB GRIN BGLC VRDI KHIT CRQ L26K MCAR WAX TGL M26K CYK BARK PTPK ISLE KIAG BAL BAGL MESA GRNC M27K BARN TABL LOGN SAMH PIN PNL notused BAGL
 78 :   62.4179 -149.7470  733.85 :   62.5258 -150.7703  L22K grid:   63.0000 -151.0000 ev:   -7.5500  127.5800  164.3 7.3 dist:   93.32 baz:  260.00 residPP(T/U/B)   -4.23 0.41  2.00 predPP(T/U) 1000.68 7.79 measPPBeam(T/U/AMP) 996.45 8.20 -0.252 measPPxf(T/U/F/rB/aB) 998.34 8.20  42.81 2.00 -98.00 fmin 0.05 fmax 0.50 SNRbeam  5.98 SNRmean  3.11 SNRstdev  1.03 SNRminmax  1.70  5.93 amp: -0.8 -1 SAME : NOCONT   NONE stanum 35	sta N19K L20K K20K M20K J20K CAPN SKN CHUM CAST SLK L22K FIRE KTH BPAW CUT RC01 GHO PWL KNK WAT7 BAT BAE SAW RND MCK WAT1 NEA2 M23K WAT6 GLI SCM WRH DHY PS10 PAX notused BAE
 79 :   62.7258 -148.5110  668.20 :   62.8331 -148.8476  WAT7 grid:   63.0000 -149.0000 ev:   -7.5500  127.5800  164.3 7.3 dist:   93.93 baz:  261.10 residPP(T/U/B)   -6.59 0.23  4.00 predPP(T/U) 1005.44 7.77 measPPBeam(T/U/AMP) 998.85 8.00 -0.272 measPPxf(T/U/F/rB/aB) 1001.88 8.00  46.39 4.00 -95.00 fmin 0.05 fmax 0.50 SNRbeam  6.99 SNRmean  3.23 SNRstdev  1.11 SNRminmax  1.70  6.17 amp: -0.8 -1 SAME : NOCONT   NONE stanum 50	sta L20K K20K M20K CAPN SKN CHUM CAST SLK L22K FIRE KTH BPAW CUT RC01 MLY GHO PWL KNK WAT7 BAT BAE SAW RND MCK WAT1 I23K NEA2 M23K WAT6 GLI SCM WRH PS07 DHY CCB FID VMT POKR HDA PS08 KLU DIV PS11 PS10 K24K PS12 PAX HARP J25K DOT notused BAE
 80 :   62.7926 -147.6280  695.17 :   63.0753 -147.3759   DHY grid:   63.0000 -147.0000 ev:   -7.5500  127.5800  164.3 7.3 dist:   94.34 baz:  261.90 residPP(T/U/B)   -6.52 0.25  2.00 predPP(T/U) 1008.62 7.75 measPPBeam(T/U/AMP) 1002.10 8.00 -0.305 measPPxf(T/U/F/rB/aB) 1005.24 8.00  55.54 2.00 -96.00 fmin 0.05 fmax 0.50 SNRbeam  8.97 SNRmean  3.35 SNRstdev  1.05 SNRminmax  1.70  6.16 amp: -0.8 -1 SAME : NOCONT   NONE stanum 50	sta SKN CHUM CAST L22K FIRE KTH BPAW CUT RC01 MLY GHO PWL KNK WAT7 BAT BAE SAW RND MCK WAT1 I23K NEA2 M23K WAT6 GLI SCM WRH PS07 DHY CCB FID VMT POKR HDA PS08 KLU DIV PS11 PS10 K24K PS12 PAX HARP BMR J25K GLB DOT L26K J26L M26K notused BAE
 81 :   62.4420 -146.1610  825.57 :   62.9699 -145.4699   PAX grid:   63.0000 -145.0000 ev:   -7.5500  127.5800  164.3 7.3 dist:   94.97 baz:  263.20 residPP(T/U/B)   -6.50 0.27  2.00 predPP(T/U) 1013.45 7.73 measPPBeam(T/U/AMP) 1006.95 8.00 -0.321 measPPxf(T/U/F/rB/aB) 1010.07 8.00  62.30 2.00 -95.00 fmin 0.05 fmax 0.50 SNRbeam  7.85 SNRmean  3.30 SNRstdev  1.01 SNRminmax  1.54  6.14 amp: -0.8 -1 SAME : NOCONT   NONE stanum 48	sta L22K CUT GHO KNK WAT7 BAT BAE SAW RND MCK WAT1 NEA2 M23K WAT6 GLI SCM WRH DHY CCB FID VMT POKR HDA PS08 EYAK KLU DIV PS11 PS10 K24K PS12 PAX HARP GOAT BMR J25K GLB DOT VRDI CRQ L26K J26L MCAR M26K PTPK BAL K27K M27K notused BAE
 82 :   62.1773 -144.4830 1050.45 :   63.0254 -143.3478  L26K grid:   63.0000 -143.0000 ev:   -7.5500  127.5800  164.3 7.3 dist:   95.71 baz:  264.60 residPP(T/U/B)   -0.67 0.29  2.00 predPP(T/U) 1019.22 7.71 measPPBeam(T/U/AMP) 1018.55 8.00 -0.332 measPPxf(T/U/F/rB/aB) 1023.20 8.00  60.98 2.00 -93.00 fmin 0.05 fmax 0.50 SNRbeam  6.30 SNRmean  3.30 SNRstdev  1.03 SNRminmax  1.76  6.14 amp: -0.8 -1 SAME : NOCONT   NONE stanum 36	sta WAT1 M23K WAT6 SCM DHY VMT HDA PS08 KLU DIV PS11 PS10 K24K PS12 PAX HARP BMR J25K GLB DOT VRDI CRQ L26K J26L MCAR TGL M26K PTPK ISLE KIAG BAL GRNC K27K M27K BARN LOGN notused BAL
