 43 :   59.7025 -153.3000  354.02 :   59.3395 -153.4227  AUJA grid:   59.0000 -153.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  108.50 baz:  105.10 residPP(T/U/B)    5.11 -0.83 -4.00 predPP(T/U) 1108.89 7.23 measPPBeam(T/U/AMP) 1114.00 6.40 -0.718 measPPxf(T/U/F/rB/aB) 1106.07 6.40  28.03 -4.00 101.00 fmin 0.05 fmax 0.50 SNRbeam 10.00 SNRmean  6.95 SNRstdev  2.49 SNRminmax  3.34 11.97 amp: -0.8 -1 SAME : NOCONT   NONE stanum 16	sta SWD BRLK FIRE CNP HOM CAPN OHAK AU22 AUJA Q19K AUCH O19K N19K O18K P17K N18K P16K notused AU22
 57 :   61.0759 -157.7860  392.33 :   61.0224 -158.9593  M16K grid:   61.0000 -159.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  110.97 baz:  100.90 residPP(T/U/B)    5.87 -0.14 -4.00 predPP(T/U) 1126.63 7.14 measPPBeam(T/U/AMP) 1132.50 7.00 -0.827 measPPxf(T/U/F/rB/aB) 1133.50 7.00  47.60 -4.00 97.00 fmin 0.05 fmax 0.50 SNRbeam 34.69 SNRmean 10.70 SNRstdev  4.39 SNRminmax  4.95 20.65 amp: -0.8 -1 SAME : NOCONT   NONE stanum 18	sta O19K N19K O18K M19K L19K P17K N18K TTA P16K L18K L17K M16K N15K J17K O14K K15K M14K L14K notused J17K
 61 :   61.1193 -151.1850  613.91 :   60.7683 -151.1539  CAPN grid:   61.0000 -151.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  107.88 baz:  106.40 residPP(T/U/B)   -0.50 -0.65  2.00 predPP(T/U) 1104.40 7.25 measPPBeam(T/U/AMP) 1103.90 6.60 -0.696 measPPxf(T/U/F/rB/aB) 1105.32 6.60  63.48 2.00 108.00 fmin 0.05 fmax 0.50 SNRbeam 19.17 SNRmean  9.20 SNRstdev  3.67 SNRminmax  3.34 18.75 amp: -0.8 -1 SAME : NOCONT   NONE stanum 32	sta VMT SCM M23K KNK SWD WAT6 SAW GHO PMR RC01 WAT1 WAT7 BRLK FIRE CNP HOM CAPN SSN CUT L22K SKN AU22 AUJA Q19K AUCH M20K O19K N19K L20K O18K M19K L19K N18K notused AU22
 64 :   61.1518 -144.3660  971.31 :   60.9677 -144.6051   BMR grid:   61.0000 -145.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  104.78 baz:  112.10 residPP(T/U/B)    1.52 -0.57  0.00 predPP(T/U) 1081.78 7.37 measPPBeam(T/U/AMP) 1083.30 6.80 -0.792 measPPxf(T/U/F/rB/aB) 1084.61 6.80 173.55 0.00 112.00 fmin 0.05 fmax 0.50 SNRbeam 44.53 SNRmean 12.49 SNRstdev  5.90 SNRminmax  1.70 30.29 amp: -0.8 -1 SAME : NOCONT   NONE stanum 49	sta SAMH TABL RKAV LOGN MESA GRNC BAGL CYK BARN BARK ISLE KIAG BAL BGLC TGL PTPK GRIN SUCK M27K BERG NICH MCAR KAI VRDI RAG GLB M26K GOAT BMR L26K Q23K MENT EYAK PS12 DIV HARP KLU PS11 VMT PAX SCM M23K KNK WAT6 DHY SAW GHO PMR RC01 notused BAGL
 65 :   60.8934 -143.3360  958.67 :   60.7541 -142.8292   TGL grid:   61.0000 -143.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  104.22 baz:  113.00 residPP(T/U/B)    1.55 -0.39  0.00 predPP(T/U) 1077.65 7.39 measPPBeam(T/U/AMP) 1079.20 7.00 -0.808 measPPxf(T/U/F/rB/aB) 1080.63 7.00 140.44 0.00 113.00 fmin 0.05 fmax 0.50 SNRbeam 65.24 SNRmean 12.82 SNRstdev  6.30 SNRminmax  1.70 30.29 amp: -0.8 -1 SAME : NOCONT   NONE stanum 42	sta PNL YKU2 SAMH TABL RKAV LOGN MESA GRNC BAGL CYK BARN BARK ISLE KIAG BAL BGLC TGL PTPK GRIN SUCK M27K BERG NICH MCAR KAI VRDI RAG GLB M26K GOAT BMR L26K Q23K MENT EYAK PS12 DIV HARP KLU PS11 VMT SCM notused BAGL
 66 :   60.8627 -143.0240 1012.85 :   60.8240 -141.0048  LOGN grid:   61.0000 -141.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  104.07 baz:  113.20 residPP(T/U/B)    1.27 -0.19  0.00 predPP(T/U) 1076.53 7.39 measPPBeam(T/U/AMP) 1077.80 7.20 -0.845 measPPxf(T/U/F/rB/aB) 1079.46 7.20 159.68 0.00 113.00 fmin 0.05 fmax 0.50 SNRbeam 62.97 SNRmean 13.26 SNRstdev  6.42 SNRminmax  1.70 30.29 amp: -0.8 -1 SAME : NOCONT   NONE stanum 38	sta PNL YKU2 SAMH TABL RKAV LOGN MESA GRNC BAGL CYK BARN BARK ISLE KIAG BAL BGLC TGL PTPK GRIN SUCK M27K BERG NICH MCAR KAI VRDI RAG GLB M26K GOAT BMR L26K MENT EYAK PS12 DIV KLU PS11 notused BAGL
 74 :   63.3949 -157.7810  401.14 :   63.3965 -159.0777  J17K grid:   63.0000 -159.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  111.39 baz:  100.00 residPP(T/U/B)    3.13 0.27  0.00 predPP(T/U) 1129.62 7.13 measPPBeam(T/U/AMP) 1132.75 7.40 -0.859 measPPxf(T/U/F/rB/aB) 1135.61 7.40  77.03 0.00 100.00 fmin 0.05 fmax 0.50 SNRbeam 34.35 SNRmean 17.74 SNRstdev  7.55 SNRminmax  6.60 33.61 amp: -0.8 -1 SAME : NOCONT   NONE stanum 14	sta K20K L19K J20K TTA J19K L18K GCSA L17K M16K J17K H17K K15K G17K H16K notused G17K
 78 :   62.5477 -150.3940  730.58 :   62.5258 -150.7703  L22K grid:   63.0000 -151.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  107.93 baz:  106.60 residPP(T/U/B)    4.10 0.15 -2.00 predPP(T/U) 1104.75 7.25 measPPBeam(T/U/AMP) 1108.85 7.40 -0.696 measPPxf(T/U/F/rB/aB) 1110.79 7.40  78.19 -2.00 105.00 fmin 0.05 fmax 0.50 SNRbeam 37.10 SNRmean 12.00 SNRstdev  4.69 SNRminmax  4.35 27.82 amp: -0.8 -1 SAME : NOCONT   NONE stanum 33	sta PAX PS10 SCM M23K KNK WAT6 DHY SAW GHO PMR RC01 WAT1 WAT7 FIRE RND WRH MCK CAPN SSN CUT NEA2 L22K SKN BPAW CAST M20K CHUM N19K L20K M19K K20K L19K J20K TTA notused BPAW
 79 :   62.9348 -148.1970  681.45 :   62.8331 -148.8476  WAT7 grid:   63.0000 -149.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  107.08 baz:  108.40 residPP(T/U/B)    0.22 -0.68  2.00 predPP(T/U) 1098.63 7.28 measPPBeam(T/U/AMP) 1098.85 6.60 -0.699 measPPxf(T/U/F/rB/aB) 1100.30 6.60 115.11 2.00 110.00 fmin 0.05 fmax 0.50 SNRbeam 32.34 SNRmean 12.25 SNRstdev  4.11 SNRminmax  4.35 22.44 amp: -0.8 -1 SAME : NOCONT   NONE stanum 48	sta MENT PS12 DIV DOT HARP KLU PS11 VMT SCRK PAX RIDG PS10 SCM K24K GREN GRES J25K M23K KNK WAT6 DHY SAW PS08 HDA GHO PMR RC01 WAT1 WAT7 FIRE POKR CCB RND WRH MCK CAPN SSN CUT NEA2 L22K I23K SKN BPAW MLY CAST M20K CHUM L20K K20K notused BPAW
 80 :   62.9531 -147.3550  707.89 :   63.0753 -147.3759   DHY grid:   63.0000 -147.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  106.73 baz:  109.10 residPP(T/U/B)    0.42 -0.69  0.00 predPP(T/U) 1096.03 7.29 measPPBeam(T/U/AMP) 1096.45 6.60 -0.744 measPPxf(T/U/F/rB/aB) 1097.72 6.60 137.81 0.00 109.00 fmin 0.05 fmax 0.50 SNRbeam 45.48 SNRmean 12.36 SNRstdev  3.73 SNRminmax  5.84 21.31 amp: -0.8 -1 SAME : NOCONT   NONE stanum 49	sta GLB M26K BMR L26K MENT PS12 DIV DOT HARP KLU PS11 VMT SCRK J26L PAX RIDG PS10 SCM K24K GREN GRES J25K M23K KNK WAT6 DHY SAW PS08 HDA GHO PMR RC01 WAT1 WAT7 FIRE POKR CCB RND WRH MCK SSN CUT NEA2 L22K I23K SKN BPAW MLY CAST CHUM notused BMR
 81 :   62.6817 -146.1180  809.25 :   62.9699 -145.4699   PAX grid:   63.0000 -145.0000 ev:  -23.5000  -66.6500  220.0 6.8 dist:  106.10 baz:  110.20 residPP(T/U/B)    0.93 -0.72  0.00 predPP(T/U) 1091.47 7.32 measPPBeam(T/U/AMP) 1092.40 6.60 -0.771 measPPxf(T/U/F/rB/aB) 1093.46 6.60 136.66 0.00 110.00 fmin 0.05 fmax 0.50 SNRbeam 50.40 SNRmean 12.25 SNRstdev  4.00 SNRminmax  1.70 20.22 amp: -0.8 -1 SAME : NOCONT   NONE stanum 48	sta BAL PTPK M27K MCAR VRDI GLB M26K GOAT BMR L26K MENT EYAK PS12 DIV DOT HARP KLU PS11 VMT SCRK J26L PAX RIDG PS10 SCM K24K GREN GRES J25K M23K KNK WAT6 DHY SAW PS08 HDA GHO PMR WAT1 WAT7 POKR CCB RND WRH MCK CUT NEA2 L22K notused BAL
