 57 :   60.9348 -158.2080  376.46 :   61.0224 -158.9593  M16K grid:   61.0000 -159.0000 ev:   -6.2900  146.5000  116.0 7.6 dist:   79.68 baz:  236.20 residPP(T/U/B)    5.61 0.32 -2.00 predPP(T/U) 895.84 8.28 measPPBeam(T/U/AMP) 901.45 8.60 -0.159 measPPxf(T/U/F/rB/aB) 901.99 8.60  11.56 -2.00 -126.00 fmin 0.05 fmax 0.50 SNRbeam  7.46 SNRmean  3.72 SNRstdev  1.60 SNRminmax  1.87  8.56 amp: -0.9 -1 SAME : NOCONT   NONE stanum 15	sta O14K M14K L14K N15K P16K K15K M16K P17K L17K O18K N18K J17K N19K L19K M19K notused J17K
 61 :   61.1554 -150.1910  651.34 :   60.7683 -151.1539  CAPN grid:   61.0000 -151.0000 ev:   -6.2900  146.5000  116.0 7.6 dist:   83.14 baz:  243.40 residPP(T/U/B) -924.31 8.16  0.00 predPP(T/U) 924.31 8.16 measPPBeam(T/U/AMP)   0.00 0.00 0.000 fmin   0.05 0.00   0.50 0.00 0.00 3.80 0.00 1.59 0.00 0.00  8.37 amp: -0.87 -1  0.00 :  0.00  0.00 stanum 35.0 0                      0	sta O18K N18K Q19K N19K L19K M19K HOM CNP BRLK L20K BRSE CAPN SKN SWD SSN PPLA FIRE RC01 CUT PWL P23K GHO KNK BAT BAE SAW GLI WAT7 HIN M23K FID WAT1 SCM VMT WAT6 notused BAE
 63 :   61.1107 -146.4840  748.13 :   60.8792 -147.0959   GLI grid:   61.0000 -147.0000 ev:   -6.2900  146.5000  116.0 7.6 dist:   84.75 baz:  246.80 residPP(T/U/B)    6.33 0.49  0.00 predPP(T/U) 937.37 8.11 measPPBeam(T/U/AMP) 943.70 8.60 -0.115 measPPxf(T/U/F/rB/aB) 942.28 8.60  30.97 0.00 -113.00 fmin 0.05 fmax 0.50 SNRbeam 15.09 SNRmean  3.76 SNRstdev  1.60 SNRminmax  3.41  3.41 amp: -0.9 -1 SAME : NOCONT   NONE stanum 53	sta CNP BRLK BRSE CAPN SKN SWD SSN FIRE RC01 CUT PWL P23K GHO KNK BAT BAE Q23K SAW GLI WAT7 HIN M23K FID WAT1 SCM VMT WAT6 DIV KLU DHY KAI RAG GOAT PS12 BMR NICH PS11 SUCK BERG HARP BGLC GRIN PAX KHIT GLB CRQ VRDI WAX TGL MCAR KIAG BAL M26K notused BAE
 64 :   61.0666 -144.7140  940.79 :   60.9677 -144.6051   BMR grid:   61.0000 -145.0000 ev:   -6.2900  146.5000  116.0 7.6 dist:   85.52 baz:  248.40 residPP(T/U/B)    3.82 0.52  0.00 predPP(T/U) 943.63 8.08 measPPBeam(T/U/AMP) 947.45 8.60 -0.155 measPPxf(T/U/F/rB/aB) 948.87 8.60  41.33 0.00 -112.00 fmin 0.05 fmax 0.50 SNRbeam 14.32 SNRmean  4.14 SNRstdev  1.68 SNRminmax  1.76  8.50 amp: -0.8 -1 SAME : NOCONT   NONE stanum 52	sta RC01 PWL P23K GHO KNK BAT BAE Q23K SAW GLI HIN M23K FID SCM VMT WAT6 DIV KLU DHY KAI RAG GOAT PS12 BMR NICH PS11 SUCK BERG HARP BGLC GRIN PAX KHIT GLB CRQ VRDI WAX TGL MCAR MESA KIAG BAL GRNC M26K RKAV L26K BARN TABL SAMH LOGN M27K PIN notused BAE
 65 :   60.8989 -143.8500  918.67 :   60.7523 -143.0926   CRQ grid:   61.0000 -143.0000 ev:   -6.2900  146.5000  116.0 7.6 dist:   85.85 baz:  249.10 residPP(T/U/B)    8.00 -2.47 -4.00 predPP(T/U) 946.30 8.07 measPPBeam(T/U/AMP) 954.30 5.60 -0.214 measPPxf(T/U/F/rB/aB) 948.24 5.60  28.00 -4.00 -115.00 fmin 0.05 fmax 0.50 SNRbeam  5.71 SNRmean  4.24 SNRstdev  1.79 SNRminmax  1.76  8.51 amp: -0.8 -1 SAME : NOCONT   NONE stanum 46	sta P23K BAE Q23K GLI HIN M23K FID SCM VMT DIV KLU KAI RAG GOAT PS12 BMR NICH PS11 SUCK BERG HARP BGLC GRIN PAX KHIT GLB CRQ VRDI WAX TGL MCAR MESA KIAG BAL GRNC M26K RKAV L26K BARN TABL SAMH LOGN M27K PIN BCP PNL notused BAE
 66 :   60.8203 -142.9430 1038.05 :   60.8240 -141.0048  LOGN grid:   61.0000 -141.0000 ev:   -6.2900  146.5000  116.0 7.6 dist:   86.24 baz:  249.90 residPP(T/U/B)    3.64 -0.65 -2.00 predPP(T/U) 949.41 8.05 measPPBeam(T/U/AMP) 953.05 7.40 -0.220 measPPxf(T/U/F/rB/aB) 956.63 7.40  37.08 -2.00 -112.00 fmin 0.05 fmax 0.50 SNRbeam  5.98 SNRmean  4.32 SNRstdev  1.84 SNRminmax  1.76  8.52 amp: -0.8 -1 SAME : NOCONT   NONE stanum 35	sta DIV KLU KAI RAG GOAT PS12 BMR NICH PS11 SUCK BERG BGLC GRIN KHIT GLB CRQ VRDI WAX TGL MCAR MESA KIAG BAL GRNC M26K RKAV L26K BARN TABL SAMH LOGN M27K PIN BCP PNL notused BAL
 79 :   62.8407 -148.2800  693.40 :   62.8331 -148.8476  WAT7 grid:   63.0000 -149.0000 ev:   -6.2900  146.5000  116.0 7.6 dist:   84.68 baz:  245.00 residPP(T/U/B)    1.85 0.09  0.00 predPP(T/U) 936.85 8.11 measPPBeam(T/U/AMP) 938.70 8.20 -0.125 measPPxf(T/U/F/rB/aB) 941.46 8.20  22.58 0.00 -115.00 fmin 0.05 fmax 0.50 SNRbeam 12.45 SNRmean  4.11 SNRstdev  1.68 SNRminmax  2.90  2.90 amp: -0.9 -1 SAME : NOCONT   NONE stanum 52	sta L20K CAPN K20K SKN SSN PPLA FIRE RC01 CAST CHUM CUT PWL KTH GHO KNK BAT BAE BPAW SAW GLI WAT7 M23K FID WAT1 SCM MLY RND VMT MCK WAT6 DIV NEA2 KLU DHY I23K WRH PS12 PS11 CCB PS07 HARP HDA PAX PS10 POKR PS08 K24K GRES GREN RIDG J25K SCRK notused BAE
 80 :   62.8416 -147.5880  725.33 :   63.0753 -147.3759   DHY grid:   63.0000 -147.0000 ev:   -6.2900  146.5000  116.0 7.6 dist:   84.97 baz:  245.60 residPP(T/U/B)    1.82 0.30  0.00 predPP(T/U) 939.18 8.10 measPPBeam(T/U/AMP) 941.00 8.40 -0.139 measPPxf(T/U/F/rB/aB) 943.89 8.40  27.10 0.00 -114.00 fmin 0.05 fmax 0.50 SNRbeam 11.62 SNRmean  4.34 SNRstdev  1.73 SNRminmax  2.90  2.90 amp: -0.9 -1 SAME : NOCONT   NONE stanum 54	sta SKN SSN PPLA FIRE RC01 CAST CHUM CUT PWL KTH GHO KNK BAT BAE BPAW SAW GLI WAT7 M23K FID WAT1 SCM MLY RND VMT MCK WAT6 DIV NEA2 KLU DHY I23K WRH PS12 BMR PS11 CCB PS07 HARP HDA PAX PS10 POKR PS08 GLB K24K GRES GREN RIDG J25K M26K L26K SCRK J26L notused BAE
 81 :   62.6030 -146.1030  816.35 :   62.9699 -145.4699   PAX grid:   63.0000 -145.0000 ev:   -6.2900  146.5000  116.0 7.6 dist:   85.50 baz:  247.00 residPP(T/U/B)    3.45 0.52  2.00 predPP(T/U) 943.45 8.08 measPPBeam(T/U/AMP) 946.90 8.60 -0.138 measPPxf(T/U/F/rB/aB) 948.26 8.60  29.28 2.00 -111.00 fmin 0.05 fmax 0.50 SNRbeam 22.52 SNRmean  4.36 SNRstdev  1.75 SNRminmax  2.90  2.90 amp: -0.9 -1 SAME : NOCONT   NONE stanum 48	sta CUT GHO KNK BAT BAE SAW GLI WAT7 M23K FID WAT1 SCM RND VMT MCK WAT6 DIV NEA2 KLU DHY GOAT WRH PS12 BMR PS11 CCB HARP HDA PAX PS10 POKR PS08 GLB K24K CRQ VRDI GRES GREN MCAR RIDG J25K BAL M26K L26K SCRK M27K J26L K27K notused BAE
 82 :   62.4707 -144.6300  979.93 :   63.0254 -143.3478  L26K grid:   63.0000 -143.0000 ev:   -6.2900  146.5000  116.0 7.6 dist:   86.07 baz:  248.30 residPP(T/U/B)    6.84 0.34  2.00 predPP(T/U) 948.11 8.06 measPPBeam(T/U/AMP) 954.95 8.40 -0.175 measPPxf(T/U/F/rB/aB) 954.85 8.40  27.18 2.00 -110.00 fmin 0.05 fmax 0.50 SNRbeam 17.41 SNRmean  4.66 SNRstdev  1.67 SNRminmax  1.76  8.47 amp: -0.9 -1 SAME : NOCONT   NONE stanum 38	sta M23K WAT1 SCM VMT WAT6 DIV KLU DHY PS12 BMR PS11 HARP HDA PAX PS10 PS08 GLB K24K CRQ VRDI GRES GREN TGL MCAR RIDG KIAG J25K BAL GRNC M26K L26K SCRK BARN LOGN M27K J26L K27K I26K notused BAL
 92 :   64.8017 -156.1360  322.80 :   64.7461 -156.8792  GCSA grid:   65.0000 -157.0000 ev:   -6.2900  146.5000  116.0 7.6 dist:   82.58 baz:  237.60 residPP(T/U/B)    6.30 0.01  0.00 predPP(T/U) 919.75 8.19 measPPBeam(T/U/AMP) 926.05 8.20 -0.251 measPPxf(T/U/F/rB/aB) 928.30 8.20  27.87 0.00 -122.00 fmin 0.05 fmax 0.50 SNRbeam  7.79 SNRmean  3.52 SNRstdev  1.09 SNRminmax  2.23  6.38 amp: -0.9 -1 SAME : NOCONT   NONE stanum 15	sta H16K J17K H17K G17K GCSA J19K F18K K20K J20K H20K CAST CHUM F20K H21K I21K notused CAST
