 57 :   60.6820 -158.2960  318.06 :   61.0224 -158.9593  M16K grid:   61.0000 -159.0000 ev:   -7.0600  130.0000  105.2 7.6 dist:   87.40 baz:  250.60 residPP(T/U/B)   -2.24 -2.41 -6.00 predPP(T/U) 959.84 8.01 measPPBeam(T/U/AMP) 957.60 5.60 -0.203 measPPxf(T/U/F/rB/aB) 958.51 5.60  23.51 -6.00 -115.00 fmin 0.05 fmax 0.50 SNRbeam  4.14 SNRmean  3.10 SNRstdev  0.56 SNRminmax  2.36  4.08 amp: -0.8 -1 SAME : NOCONT   NONE stanum 14	sta O14K L14K M14K N15K P16K M16K L16K P17K L17K J17K N18K O18K O19K N19K notused J17K
 61 :   61.0413 -150.1730  609.71 :   60.7683 -151.1539  CAPN grid:   61.0000 -151.0000 ev:   -7.0600  130.0000  105.2 7.6 dist:   91.30 baz:  257.70 residPP(T/U/B)    6.51 -0.08  0.00 predPP(T/U) 990.84 7.88 measPPBeam(T/U/AMP) 997.35 7.80 -0.217 measPPxf(T/U/F/rB/aB) 996.71 7.80  19.07 0.00 -102.00 fmin 0.05 fmax 0.50 SNRbeam  4.51 SNRmean  2.69 SNRstdev  0.73 SNRminmax  1.54  4.15 amp: -0.8 -1 SAME : NOCONT   NONE stanum 31	sta N18K O18K Q19K O19K N19K L20K HOM CNP BRLK BRSE CAPN SKN SLK FIRE L22K SWD CUT GHO PWL KNK BAT WAT7 SAW WAT1 P23K M23K WAT6 GLI SCM HIN VMT notused BAT
 63 :   61.0673 -146.2720  772.28 :   60.8792 -147.0959   GLI grid:   61.0000 -147.0000 ev:   -7.0600  130.0000  105.2 7.6 dist:   93.16 baz:  261.10 residPP(T/U/B)   -9.93 -1.41 -4.00 predPP(T/U) 1005.43 7.81 measPPBeam(T/U/AMP) 995.50 6.40 -0.218 measPPxf(T/U/F/rB/aB) 1000.52 6.40  46.46 -4.00 -103.00 fmin 0.05 fmax 0.50 SNRbeam  2.44 SNRmean  2.44 SNRstdev  0.66 SNRminmax  1.42  4.15 amp: -0.8 -1 SAME : NOCONT   NONE stanum 54	sta CNP BRLK BRSE CAPN SKN SLK FIRE L22K SWD CUT GHO PWL KNK BAT WAT7 SAW WAT1 P23K M23K WAT6 GLI SCM Q23K HIN DHY VMT EYAK KLU DIV PS11 PS12 PAX RAG GOAT HARP KAI BMR NICH SUCK BERG GLB BGLC VRDI KHIT CRQ WAX MCAR TGL CYK BARK PTPK ISLE KIAG BAL notused BAL
 64 :   61.0770 -144.7160  937.40 :   60.9677 -144.6051   BMR grid:   61.0000 -145.0000 ev:   -7.0600  130.0000  105.2 7.6 dist:   93.91 baz:  262.50 residPP(T/U/B)   -7.00 -2.38  2.00 predPP(T/U) 1011.25 7.78 measPPBeam(T/U/AMP) 1004.25 5.40 -0.261 measPPxf(T/U/F/rB/aB) 1005.68 5.40  56.46 2.00 -96.00 fmin 0.05 fmax 0.50 SNRbeam  1.62 SNRmean  2.45 SNRstdev  0.71 SNRminmax  1.42  4.90 amp: -0.8 -1 SAME : NOCONT   NONE stanum 48	sta GHO PWL KNK BAT SAW P23K M23K WAT6 GLI SCM Q23K HIN DHY VMT EYAK KLU DIV PS11 PS12 PAX RAG GOAT HARP KAI BMR NICH SUCK BERG GLB BGLC VRDI KHIT CRQ WAX MCAR L26K TGL CYK BARK PTPK ISLE KIAG BAL MESA GRNC BARN M27K LOGN notused BAL
 65 :   60.9217 -144.0100  911.94 :   60.7523 -143.0926   CRQ grid:   61.0000 -143.0000 ev:   -7.0600  130.0000  105.2 7.6 dist:   94.23 baz:  263.10 residPP(T/U/B)   -7.69 -2.37  0.00 predPP(T/U) 1013.74 7.77 measPPBeam(T/U/AMP) 1006.05 5.40 -0.292 measPPxf(T/U/F/rB/aB) 1007.39 5.40  60.46 0.00 -97.00 fmin 0.05 fmax 0.50 SNRbeam  1.69 SNRmean  2.43 SNRstdev  0.74 SNRminmax  1.42  4.92 amp: -0.8 -1 SAME : NOCONT   NONE stanum 42	sta P23K M23K GLI SCM Q23K HIN VMT EYAK KLU DIV PS11 PS12 PAX RAG GOAT HARP KAI BMR NICH SUCK BERG GLB BGLC VRDI KHIT CRQ WAX MCAR L26K TGL CYK BARK PTPK ISLE KIAG BAL MESA GRNC BARN M27K LOGN PNL notused BAL
 66 :   60.8465 -143.3040 1013.71 :   60.8240 -141.0048  LOGN grid:   61.0000 -141.0000 ev:   -7.0600  130.0000  105.2 7.6 dist:   94.56 baz:  263.70 residPP(T/U/B)   -8.37 -2.36  0.00 predPP(T/U) 1016.32 7.76 measPPBeam(T/U/AMP) 1007.95 5.40 -0.302 measPPxf(T/U/F/rB/aB) 1009.40 5.40  56.09 0.00 -96.00 fmin 0.05 fmax 0.50 SNRbeam  1.69 SNRmean  2.48 SNRstdev  0.81 SNRminmax  1.47  4.92 amp: -0.8 -1 SAME : NOCONT   NONE stanum 33	sta EYAK KLU DIV PS11 PS12 RAG GOAT KAI BMR NICH SUCK BERG GLB BGLC VRDI KHIT CRQ WAX MCAR L26K TGL CYK BARK PTPK ISLE KIAG BAL MESA GRNC BARN M27K LOGN PNL notused BAL
 78 :   62.4806 -149.7300  777.23 :   62.5258 -150.7703  L22K grid:   63.0000 -151.0000 ev:   -7.0600  130.0000  105.2 7.6 dist:   91.81 baz:  258.10 residPP(T/U/B)    6.68 -0.66  2.00 predPP(T/U) 994.82 7.86 measPPBeam(T/U/AMP) 1001.50 7.20 -0.247 measPPxf(T/U/F/rB/aB) 1001.05 7.20  28.42 2.00 -100.00 fmin 0.05 fmax 0.50 SNRbeam  3.75 SNRmean  2.93 SNRstdev  0.60 SNRminmax  1.54  4.15 amp: -0.8 -1 SAME : NOCONT   NONE stanum 32	sta N19K L20K K20K J20K CAPN SKN CAST CHUM SLK FIRE L22K KTH CUT BPAW TRF GHO PWL KNK BAT WAT7 SAW RND WAT1 MCK M23K WAT6 GLI SCM WRH DHY PS10 PAX notused BAT
 79 :   62.9153 -148.2990  708.20 :   62.8331 -148.8476  WAT7 grid:   63.0000 -149.0000 ev:   -7.0600  130.0000  105.2 7.6 dist:   92.53 baz:  259.40 residPP(T/U/B)   -7.09 -2.03 -4.00 predPP(T/U) 1000.54 7.83 measPPBeam(T/U/AMP) 993.45 5.80 -0.276 measPPxf(T/U/F/rB/aB) 996.15 5.80  44.67 -4.00 -105.00 fmin 0.05 fmax 0.50 SNRbeam  2.79 SNRmean  3.22 SNRstdev  0.91 SNRminmax  1.54  6.17 amp: -0.8 -1 SAME : NOCONT   NONE stanum 49	sta L20K K20K CAPN SKN CAST CHUM SLK FIRE L22K KTH CUT BPAW TRF MLY GHO PWL KNK BAT WAT7 SAW RND WAT1 MCK I23K M23K WAT6 GLI SCM WRH MDM DHY PS07 CCB VMT POKR KLU DIV PS08 PS11 PS10 PS12 K24K PAX GRES GREN HARP J25K RIDG SCRK notused BAT
 80 :   62.9729 -147.6050  740.20 :   63.0753 -147.3759   DHY grid:   63.0000 -147.0000 ev:   -7.0600  130.0000  105.2 7.6 dist:   92.85 baz:  260.00 residPP(T/U/B)    5.80 -0.42  0.00 predPP(T/U) 1003.05 7.82 measPPBeam(T/U/AMP) 1008.85 7.40 -0.301 measPPxf(T/U/F/rB/aB) 1008.62 7.40  47.19 0.00 -100.00 fmin 0.05 fmax 0.50 SNRbeam  4.09 SNRmean  3.27 SNRstdev  0.96 SNRminmax  1.50  6.94 amp: -0.8 -1 SAME : NOCONT   NONE stanum 49	sta SKN CAST CHUM FIRE L22K KTH CUT BPAW TRF MLY GHO PWL KNK BAT WAT7 SAW RND WAT1 MCK I23K M23K WAT6 GLI SCM WRH MDM DHY PS07 CCB VMT POKR KLU DIV PS08 PS11 PS10 PS12 K24K PAX GRES GREN HARP BMR J25K RIDG GLB SCRK L26K J26L notused BAT
 81 :   62.5906 -146.1810  865.17 :   62.9699 -145.4699   PAX grid:   63.0000 -145.0000 ev:   -7.0600  130.0000  105.2 7.6 dist:   93.44 baz:  261.30 residPP(T/U/B)   -7.03 -2.00  4.00 predPP(T/U) 1007.58 7.80 measPPBeam(T/U/AMP) 1000.55 5.80 -0.308 measPPxf(T/U/F/rB/aB) 1002.78 5.80  69.26 4.00 -95.00 fmin 0.05 fmax 0.50 SNRbeam  2.88 SNRmean  3.12 SNRstdev  1.12 SNRminmax  1.58  7.83 amp: -0.8 -1 SAME : NOCONT   NONE stanum 48	sta L22K CUT TRF GHO KNK BAT WAT7 SAW RND WAT1 MCK M23K WAT6 GLI SCM WRH MDM DHY CCB VMT POKR EYAK KLU DIV PS08 PS11 PS10 PS12 K24K PAX GOAT GRES GREN HARP BMR J25K RIDG GLB VRDI SCRK CRQ MCAR L26K J26L PTPK BAL M27K K27K notused BAL
 82 :   62.2583 -144.5310 1051.41 :   63.0254 -143.3478  L26K grid:   63.0000 -143.0000 ev:   -7.0600  130.0000  105.2 7.6 dist:   94.15 baz:  262.70 residPP(T/U/B)   -8.46 -2.37  4.00 predPP(T/U) 1013.11 7.77 measPPBeam(T/U/AMP) 1004.65 5.40 -0.323 measPPxf(T/U/F/rB/aB) 1006.77 5.40  59.46 4.00 -93.00 fmin 0.05 fmax 0.50 SNRbeam  2.75 SNRmean  3.13 SNRstdev  1.20 SNRminmax  1.56  7.96 amp: -0.8 -1 SAME : NOCONT   NONE stanum 37	sta WAT1 M23K WAT6 SCM DHY VMT KLU DIV PS08 PS11 PS10 PS12 K24K PAX GRES GREN HARP BMR J25K RIDG GLB VRDI SCRK CRQ MCAR L26K TGL J26L PTPK ISLE KIAG BAL GRNC BARN M27K K27K LOGN notused BAL
