  4 :   55.6972 -160.6390  581.69 :   55.1909 -162.7877  BLDW grid:   55.0000 -163.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  115.97 baz:  100.00 residPP(T/U/B)   -2.27 2.34 -22.00 predPP(T/U) 1129.42 6.86 measPPBeam(T/U/AMP) 1127.15 9.20 -0.377 measPPxf(T/U/F/rB/aB) 1128.88 9.20   8.18 -22.00 78.00 fmin 0.05 fmax 0.50 SNRbeam  3.20 SNRmean  2.29 SNRstdev  0.57 SNRminmax  1.57  3.65 amp: -0.8 -1 SAME : NOCONT   NONE stanum 14	sta VNSG VNSO VNBL VNKR VNCG VNSW VNWF SDPT PS1A DOL PN7A DTN DT1 BLDW notused BLDW
 23 :   56.7562 -158.6660  568.52 :   56.5843 -158.8258  BPPC grid:   57.0000 -159.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  115.08 baz:  101.10 residPP(T/U/B)    2.76 0.11 -2.00 predPP(T/U) 1123.34 6.89 measPPBeam(T/U/AMP) 1126.10 7.00 -0.387 measPPxf(T/U/F/rB/aB) 1126.71 7.00  20.52 -2.00 99.00 fmin 0.05 fmax 0.50 SNRbeam  8.25 SNRmean  2.48 SNRstdev  0.84 SNRminmax  1.33  5.12 amp: -0.8 -1 SAME : NOCONT   NONE stanum 28	sta ACH ANCK KEL PLK3 PLK2 PLK1 PLBL PLK5 R16K ANPK ANNQ ANVM ANNW BPPC P16K VNSG VNSO VNBL VNKR VNCG VNSW VNWF SDPT PS1A DOL PN7A DTN DT1 notused ACH
 43 :   59.5059 -153.7280  685.38 :   59.3330 -153.4284  AUSB grid:   59.0000 -153.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  113.13 baz:  103.80 residPP(T/U/B)   -0.47 -0.16 -2.00 predPP(T/U) 1109.82 6.96 measPPBeam(T/U/AMP) 1109.35 6.80 -0.691 measPPxf(T/U/F/rB/aB) 1112.32 6.80 113.61 -2.00 102.00 fmin 0.05 fmax 0.50 SNRbeam 17.40 SNRmean  4.13 SNRstdev  2.26 SNRminmax  1.42 14.03 amp: -0.8 -1 SAME : NOCONT   NONE stanum 55	sta SWD SLK BRSE BRLK FIRE CNP HOM CAPN STLK RDT SPCN ILCB RDSO RED RDDF ILLG SPBG AU22 ILS P19K AUJK RDWB ILNE AUJA AUSB RDJH Q19K AUCH AUL ILSW AUWS AUNO NCT SPNN KAHG KARR KAB2 KAVE KAKN MGLS O19K KBM KABU ACH KVT ANCK N19K KEL O18K PLK3 PLK2 PLK1 PLBL PLK5 P17K N18K P16K notused ACH
 57 :   60.9162 -157.9380  380.81 :   61.0224 -158.9593  M16K grid:   61.0000 -159.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  115.46 baz:   99.80 residPP(T/U/B)    1.62 -0.08  0.00 predPP(T/U) 1125.98 6.88 measPPBeam(T/U/AMP) 1127.60 6.80 -0.625 measPPxf(T/U/F/rB/aB) 1129.41 6.80  30.98 0.00 100.00 fmin 0.05 fmax 0.50 SNRbeam 15.46 SNRmean  3.76 SNRstdev  1.09 SNRminmax  2.40  5.87 amp: -0.8 -1 SAME : NOCONT   NONE stanum 16	sta O19K N19K O18K L19K P17K N18K TTA P16K L17K M16K L16K J17K N15K O14K M14K L14K notused J17K
 60 :   60.8553 -152.0440  744.24 :   61.3662 -152.7012  SPNN grid:   61.0000 -153.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  112.65 baz:  104.70 residPP(T/U/B)   -0.83 0.02 -2.00 predPP(T/U) 1106.48 6.98 measPPBeam(T/U/AMP) 1105.65 7.00 -0.834 measPPxf(T/U/F/rB/aB) 1108.44 7.00 214.72 -2.00 103.00 fmin 0.05 fmax 0.50 SNRbeam 14.32 SNRmean  5.06 SNRstdev  2.20 SNRminmax  2.18 14.03 amp: -0.8 -1 SAME : NOCONT   NONE stanum 55	sta PWL BAT KNK SAW SWD GHO PMR WAT1 RC01 SLK WAT7 BRSE BRLK FIRE CNP HOM CAPN CUT L22K TRF SKN STLK RDT SPCN KTH ILCB RDSO RED RDDF ILLG SPBG AU22 ILS P19K AUJK RDWB ILNE AUJA AUSB RDJH Q19K AUCH AUL ILSW AUWS AUNO NCT SPNN CAST O19K N19K L20K O18K K20K L19K N18K TTA notused AU22
 61 :   60.6701 -151.3930  712.83 :   60.7683 -151.1539  CAPN grid:   61.0000 -151.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  112.29 baz:  105.30 residPP(T/U/B)   -0.80 -0.19 -2.00 predPP(T/U) 1104.00 6.99 measPPBeam(T/U/AMP) 1103.20 6.80 -0.824 measPPxf(T/U/F/rB/aB) 1106.12 6.80 215.55 -2.00 103.00 fmin 0.05 fmax 0.50 SNRbeam 16.53 SNRmean  5.28 SNRstdev  2.57 SNRminmax  2.06 14.02 amp: -0.8 -1 SAME : NOCONT   NONE stanum 57	sta HIN FID VMT P23K GLI SCM PWL BAT KNK WAT6 SAW SWD GHO PMR WAT1 RC01 SLK WAT7 BRSE BRLK FIRE CNP HOM CAPN CUT L22K SKN STLK RDT SPCN ILCB RDSO RED RDDF ILLG SPBG AU22 ILS P19K AUJK RDWB ILNE AUJA AUSB RDJH Q19K AUCH AUL ILSW AUWS AUNO NCT SPNN O19K N19K L20K O18K L19K N18K notused AU22
 63 :   61.1045 -146.5570  775.64 :   60.8792 -147.0959   GLI grid:   61.0000 -147.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  110.18 baz:  109.10 residPP(T/U/B)   -2.31 -0.06 -2.00 predPP(T/U) 1089.11 7.06 measPPBeam(T/U/AMP) 1086.80 7.00 -0.732 measPPxf(T/U/F/rB/aB) 1091.49 7.00 162.33 -2.00 107.00 fmin 0.05 fmax 0.50 SNRbeam 18.42 SNRmean  5.36 SNRstdev  2.42 SNRminmax  1.91 13.55 amp: -0.9 -1 SAME : NOCONT   NONE stanum 59	sta CYK ISLE KIAG BAL WAX BGLC TGL PTPK KHIT CRQ SUCK BERG MCAR NICH KAI VRDI GLB RAG GOAT BMR N25K WACK Q23K EYAK PS12 DIV HIN HARP PS11 KLU FID VMT P23K PAX GLI SCM PWL BAT KNK DHY WAT6 SAW SWD GHO PMR WAT1 RC01 SLK WAT7 BRSE BRLK FIRE CNP CAPN CUT L22K SKN STLK SPCN notused BAL
 64 :   61.1987 -144.6930  952.28 :   60.9677 -144.6051   BMR grid:   61.0000 -145.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  109.36 baz:  110.60 residPP(T/U/B)   -2.20 -0.09 -2.00 predPP(T/U) 1083.35 7.09 measPPBeam(T/U/AMP) 1081.15 7.00 -0.720 measPPxf(T/U/F/rB/aB) 1085.63 7.00 161.92 -2.00 109.00 fmin 0.05 fmax 0.50 SNRbeam 34.98 SNRmean  5.63 SNRstdev  2.44 SNRminmax  2.06 13.46 amp: -0.9 -1 SAME : NOCONT   NONE stanum 54	sta YUK8 LOGN YUK3 GRNC CYK BARN ISLE BVCY KIAG BAL WAX BGLC TGL PTPK KHIT CRQ SUCK M27K BERG MCAR NICH KAI VRDI GLB RAG GOAT BMR L26K N25K WACK Q23K MENT EYAK PS12 DIV HIN HARP PS11 KLU FID VMT P23K PAX GLI SCM PWL BAT KNK DHY WAT6 SAW GHO PMR RC01 notused BAL
 65 :   61.0466 -143.4440  985.88 :   60.7523 -143.0926   CRQ grid:   61.0000 -143.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  108.74 baz:  111.60 residPP(T/U/B)   -2.22 0.09 -2.00 predPP(T/U) 1078.97 7.11 measPPBeam(T/U/AMP) 1076.75 7.20 -0.674 measPPxf(T/U/F/rB/aB) 1080.90 7.20 118.51 -2.00 110.00 fmin 0.05 fmax 0.50 SNRbeam 27.48 SNRmean  5.28 SNRstdev  2.30 SNRminmax  1.62 11.58 amp: -0.9 -1 SAME : NOCONT   NONE stanum 50	sta PNL YKU2 YUK6 YUK4 BRWY YUK8 LOGN YUK3 GRNC CYK BARN ISLE BVCY KIAG BAL WAX BGLC TGL PTPK KHIT CRQ SUCK M27K BERG MCAR NICH KAI VRDI GLB RAG GOAT BMR L26K N25K WACK Q23K MENT EYAK PS12 DIV HIN HARP PS11 KLU FID VMT P23K PAX GLI SCM notused BAL
 66 :   61.0344 -142.6540 1092.88 :   60.8240 -141.0048  LOGN grid:   61.0000 -141.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  108.38 baz:  112.30 residPP(T/U/B)   -2.31 0.27 -2.00 predPP(T/U) 1076.41 7.13 measPPBeam(T/U/AMP) 1074.10 7.40 -0.655 measPPxf(T/U/F/rB/aB) 1078.56 7.40  98.12 -2.00 110.00 fmin 0.05 fmax 0.50 SNRbeam 14.79 SNRmean  5.12 SNRstdev  2.29 SNRminmax  1.62 11.57 amp: -0.9 -1 SAME : NOCONT   NONE stanum 42	sta HYT PNL YKU2 YUK6 YUK4 BRWY YUK8 LOGN YUK3 GRNC CYK BARN ISLE BVCY KIAG BAL WAX BGLC TGL PTPK KHIT CRQ SUCK M27K BERG MCAR NICH KAI VRDI GLB RAG GOAT BMR L26K N25K WACK MENT EYAK PS12 DIV PS11 KLU notused BAL
 67 :   60.9258 -141.5260 1272.76 :   61.3704 -139.0338  BRWY grid:   61.0000 -139.0000 ev:  -26.7500  -63.1000  596.7 6.8 dist:  107.84 baz:  113.20 residPP(T/U/B)   -2.56 0.26  0.00 predPP(T/U) 1072.51 7.14 measPPBeam(T/U/AMP) 1069.95 7.40 -0.619 measPPxf(T/U/F/rB/aB) 1073.89 7.40  61.93 0.00 113.00 fmin 0.05 fmax 0.50 SNRbeam 10.78 SNRmean  4.84 SNRstdev  1.93 SNRminmax  1.62  8.44 amp: -0.9 -1 SAME : NOCONT   NONE stanum 27	sta HYT PNL YKU2 YUK6 YUK4 BRWY YUK8 LOGN YUK3 GRNC CYK BARN ISLE BVCY KIAG BAL WAX BGLC TGL PTPK KHIT CRQ M27K BERG MCAR VRDI GLB notused BAL
