  4 :   55.6738 -160.7200  564.89 :   55.1909 -162.7877  BLDW grid:   55.0000 -163.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   87.22 baz:   99.10 residPP(T/U/B)   -5.49 -1.23 10.00 predPP(T/U) 962.59 8.03 measPPBeam(T/U/AMP) 957.10 6.80 -0.154 measPPxf(T/U/F/rB/aB) 958.74 6.80  16.65 10.00 109.00 fmin 0.05 fmax 0.50 SNRbeam  3.60 SNRmean  2.37 SNRstdev  0.82 SNRminmax  2.15  3.39 amp: -0.8 -1 SAME : NOCONT   NONE stanum 15	sta VNSG VNSO VNBL VNKR VNCG VNSW VNWF SDPT PS1A DOL PS4A PN7A DTN DT1 BLDW notused BLDW
 23 :   56.7384 -158.6960  559.08 :   56.5843 -158.8258  BPPC grid:   57.0000 -159.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   86.30 baz:  100.90 residPP(T/U/B)    1.54 -0.66  6.00 predPP(T/U) 955.16 8.06 measPPBeam(T/U/AMP) 956.70 7.40 -0.096 measPPxf(T/U/F/rB/aB) 961.27 7.40  22.32 6.00 107.00 fmin 0.05 fmax 0.50 SNRbeam  3.79 SNRmean  2.56 SNRstdev  0.70 SNRminmax  2.15  3.55 amp: -0.8 -1 SAME : NOCONT   NONE stanum 30	sta ACH ANCK KEL PLK3 R17L PLK2 PLK1 PLBL PLK5 R16K ANPK ANNQ ANVM ANNW BPPC P16K VNSG VNSO VNBL VNKR VNCG VNSW VNWF SDPT PS1A DOL PS4A PN7A DTN DT1 notused ACH
 42 :   58.8686 -154.6110  656.42 :   58.6484 -155.0086  Q18K grid:   59.0000 -155.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   84.65 baz:  104.60 residPP(T/U/B)    3.68 -0.92 -4.00 predPP(T/U) 941.77 8.12 measPPBeam(T/U/AMP) 945.45 7.20 -0.158 measPPxf(T/U/F/rB/aB) 947.08 7.20  45.26 -4.00 101.00 fmin 0.05 fmax 0.50 SNRbeam  5.40 SNRmean  2.85 SNRstdev  0.77 SNRminmax  1.56  5.55 amp: -0.8 -1 SAME : NOCONT   NONE stanum 51	sta BRSE BRLK CNP HOM O20K ILCB AU22 RDSO ILLG RED IVE AUJK ILS Q19K AUJA AUSB AUCH AUL ILNE AUWS AUNO ILSW R18K NCT KAHG KARR KAWH KAB2 KAVE KAKN MGLS Q18K KBM KABU O19K ACH KVT ANCK N19K KEL O18K PLK3 R17L PLK2 PLK1 PLBL PLK5 P17K R16K ANPK ANNQ ANVM ANNW P16K notused ACH
 43 :   59.4531 -153.7230  679.96 :   59.3330 -153.4284  AUSB grid:   59.0000 -153.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   84.36 baz:  105.40 residPP(T/U/B)    2.32 -0.33 -2.00 predPP(T/U) 939.43 8.13 measPPBeam(T/U/AMP) 941.75 7.80 -0.177 measPPxf(T/U/F/rB/aB) 944.88 7.80  55.49 -2.00 103.00 fmin 0.05 fmax 0.50 SNRbeam  6.99 SNRmean  2.94 SNRstdev  0.89 SNRminmax  1.56  5.55 amp: -0.8 -1 SAME : NOCONT   NONE stanum 58	sta SWD SLK BRSE BRLK CNP FIRE HOM CAPN O20K SPBL STLK SPU SPCG ILCB SPCN N20K AU22 RDSO ILLG RED IVE AUJK ILS Q19K AUJA AUSB AUCH AUL ILNE AUWS AUNO SPBG ILSW R18K NCT SPNN KAHG KARR KAWH KAB2 KAVE KAKN MGLS Q18K KBM KABU O19K ACH KVT ANCK N19K KEL O18K PLK3 R17L PLK2 PLK1 PLBL PLK5 P17K P16K notused ACH
 57 :   60.9997 -158.2610  358.62 :   61.0224 -158.9593  M16K grid:   61.0000 -159.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   86.91 baz:  101.50 residPP(T/U/B)    0.39 -1.24  0.00 predPP(T/U) 960.06 8.04 measPPBeam(T/U/AMP) 960.45 6.80 -0.111 measPPxf(T/U/F/rB/aB) 962.22 6.80  13.45 0.00 102.00 fmin 0.05 fmax 0.50 SNRbeam  5.62 SNRmean  3.07 SNRstdev  0.93 SNRminmax  1.63  5.54 amp: -0.8 -1 SAME : NOCONT   NONE stanum 16	sta O19K N19K O18K M19K P17K TTA P16K L17K M16K L16K N15K J17K O14K M14K K15K L14K notused J17K
 60 :   60.8911 -151.9970  733.69 :   61.3662 -152.7012  SPNN grid:   61.0000 -153.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   83.93 baz:  107.10 residPP(T/U/B)    3.42 -0.55 -2.00 predPP(T/U) 935.98 8.15 measPPBeam(T/U/AMP) 939.40 7.60 -0.192 measPPxf(T/U/F/rB/aB) 941.24 7.60  67.88 -2.00 105.00 fmin 0.05 fmax 0.50 SNRbeam  7.16 SNRmean  3.16 SNRstdev  1.04 SNRminmax  1.50  6.22 amp: -0.8 -1 SAME : NOCONT   NONE stanum 53	sta PWL KNK SWD SAW GHO PMR RC01 SLK BRSE WAT1 BRLK WAT7 CNP FIRE HOM CAPN CUT L22K TRF O20K SPBL STLK SKN SPU SPCG ILCB SPCN N20K AU22 RDSO ILLG RED IVE AUJK ILS Q19K AUJA AUSB AUCH AUL ILNE AUWS AUNO SPBG ILSW KTH NCT SPNN CAST O19K N19K O18K L20K M19K K20K TTA notused AU22
 61 :   60.7034 -151.5870  712.16 :   60.7683 -151.1539  CAPN grid:   61.0000 -151.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   83.69 baz:  107.40 residPP(T/U/B)    3.63 -0.56 -2.00 predPP(T/U) 933.97 8.16 measPPBeam(T/U/AMP) 937.60 7.60 -0.192 measPPxf(T/U/F/rB/aB) 939.24 7.60  62.37 -2.00 105.00 fmin 0.05 fmax 0.50 SNRbeam  6.53 SNRmean  3.06 SNRstdev  1.06 SNRminmax  1.50  6.22 amp: -0.8 -1 SAME : NOCONT   NONE stanum 52	sta VMT P23K SCM PWL KNK SWD SAW WAT6 GHO PMR RC01 SLK BRSE WAT1 BRLK WAT7 CNP FIRE HOM CAPN CUT L22K O20K SPBL STLK SKN SPU SPCG ILCB SPCN N20K AU22 RDSO ILLG RED IVE AUJK ILS Q19K AUJA AUSB AUCH AUL ILNE AUWS AUNO SPBG ILSW NCT SPNN O19K N19K O18K L20K M19K notused AU22
 64 :   61.3097 -144.5290  997.33 :   60.9677 -144.6051   BMR grid:   61.0000 -145.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   80.70 baz:  113.80 residPP(T/U/B)    3.85 -0.26 -2.00 predPP(T/U) 909.45 8.26 measPPBeam(T/U/AMP) 913.30 8.00 -0.233 measPPxf(T/U/F/rB/aB) 919.43 8.00  65.50 -2.00 112.00 fmin 0.05 fmax 0.50 SNRbeam 14.13 SNRmean  3.30 SNRstdev  1.57 SNRminmax  1.50  9.69 amp: -0.9 -1 SAME : NOCONT   NONE stanum 45	sta YUK8 LOGN YUK3 GRNC CYK BARN ISLE KIAG BVCY BAL BGLC TGL PTPK KHIT CRQ SUCK BERG M27K NICH MCAR VRDI GLB BMR Q23K N25K WACK L26K EYAK MENT PS12 DIV KLU HARP PS11 VMT P23K PAX SCM PWL KNK SAW WAT6 DHY GHO PMR RC01 notused BAL
 65 :   61.1629 -143.1120 1087.36 :   60.7523 -143.0926   CRQ grid:   61.0000 -143.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   80.02 baz:  115.10 residPP(T/U/B)    3.54 0.12 -2.00 predPP(T/U) 903.81 8.28 measPPBeam(T/U/AMP) 907.35 8.40 -0.228 measPPxf(T/U/F/rB/aB) 911.29 8.40  51.33 -2.00 113.00 fmin 0.05 fmax 0.50 SNRbeam 10.14 SNRmean  3.30 SNRstdev  1.62 SNRminmax  1.64  9.66 amp: -0.9 -1 SAME : NOCONT   NONE stanum 42	sta YUK7 PNL YUK6 YUK4 BRWY YUK8 LOGN YUK3 GRNC CYK BARN ISLE KIAG BVCY BAL BGLC TGL PTPK KHIT CRQ SUCK BERG M27K NICH MCAR VRDI GLB BMR Q23K N25K WACK L26K EYAK MENT PS12 DIV KLU HARP PS11 VMT P23K PAX SCM notused BAL
 66 :   61.1347 -142.3360 1193.22 :   60.8240 -141.0048  LOGN grid:   61.0000 -141.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   79.67 baz:  115.80 residPP(T/U/B)    3.24 0.11 -2.00 predPP(T/U) 900.91 8.29 measPPBeam(T/U/AMP) 904.15 8.40 -0.215 measPPxf(T/U/F/rB/aB) 908.41 8.40  50.39 -2.00 114.00 fmin 0.05 fmax 0.50 SNRbeam  9.78 SNRmean  3.40 SNRstdev  1.62 SNRminmax  1.67  9.64 amp: -0.9 -1 SAME : NOCONT   NONE stanum 38	sta HYT YUK7 PNL YUK5 YUK6 YUK4 BRWY YUK8 LOGN YUK3 GRNC CYK BARN ISLE KIAG BVCY BAL BGLC TGL PTPK KHIT CRQ SUCK BERG M27K NICH MCAR VRDI GLB BMR N25K WACK L26K EYAK MENT PS12 DIV KLU PS11 notused BAL
 67 :   60.9888 -141.2850 1368.98 :   61.3704 -139.0338  BRWY grid:   61.0000 -139.0000 ev:   -2.8400  -79.8500   63.5 6.8 dist:   79.15 baz:  116.70 residPP(T/U/B)    3.26 -0.11 -2.00 predPP(T/U) 896.59 8.31 measPPBeam(T/U/AMP) 899.85 8.20 -0.234 measPPxf(T/U/F/rB/aB) 902.34 8.20  37.69 -2.00 115.00 fmin 0.05 fmax 0.50 SNRbeam  7.50 SNRmean  3.21 SNRstdev  1.45 SNRminmax  1.67  7.32 amp: -0.9 -1 SAME : NOCONT   NONE stanum 26	sta HYT YUK7 PNL YUK5 YUK6 YUK4 BRWY YUK8 LOGN YUK3 GRNC CYK BARN ISLE KIAG BVCY BAL BGLC TGL PTPK KHIT CRQ BERG M27K MCAR VRDI GLB notused BAL
