  4 :   55.6972 -160.6390  581.69 :   55.1909 -162.7877  BLDW grid:   55.0000 -163.0000 ev:   -4.3300  143.1600   70.0 7.0 dist:   75.51 baz:  238.90 residPP(T/U/B)   -0.19 1.17 -24.00 predPP(T/U) 865.49 8.43 measPPBeam(T/U/AMP) 865.30 9.60 -0.292 measPPxf(T/U/F/rB/aB) 865.58 9.60  34.45 -24.00 -145.00 fmin 0.05 fmax 0.50 SNRbeam  6.56 SNRmean  3.24 SNRstdev  0.51 SNRminmax  2.63  4.25 amp: -0.8 -1 SAME : NOCONT   NONE stanum 14	sta BLDW DT1 DTN DOL PN7A PS1A SDPT VNSW VNWF VNKR VNCG VNSO VNSG VNBL notused BLDW
 23 :   56.7864 -158.5870  566.99 :   56.5843 -158.8258  BPPC grid:   57.0000 -159.0000 ev:   -4.3300  143.1600   70.0 7.0 dist:   77.04 baz:  240.50 residPP(T/U/B)    0.06 0.02 -2.00 predPP(T/U) 878.39 8.38 measPPBeam(T/U/AMP) 878.45 8.40 -0.246 measPPxf(T/U/F/rB/aB) 878.75 8.40  52.86 -2.00 -122.00 fmin 0.05 fmax 0.50 SNRbeam  8.22 SNRmean  3.08 SNRstdev  0.65 SNRminmax  1.89  4.61 amp: -0.8 -1 SAME : NOCONT   NONE stanum 29	sta DT1 DTN DOL PN7A PS1A SDPT VNSW VNWF VNKR VNCG VNSO VNSG VNBL BPPC ANVM ANPK ANNW ANNQ R16K PLBL P16K PLK5 PLK1 R17L PLK3 PLK2 KEL ANCK ACH notused ACH
 42 :   58.9785 -154.4920  677.52 :   58.6484 -155.0086  Q18K grid:   59.0000 -155.0000 ev:   -4.3300  143.1600   70.0 7.0 dist:   79.99 baz:  243.80 residPP(T/U/B)   -0.45 0.32  0.00 predPP(T/U) 902.95 8.28 measPPBeam(T/U/AMP) 902.50 8.60 -0.242 measPPxf(T/U/F/rB/aB) 912.16 8.60  81.53 0.00 -116.00 fmin 0.05 fmax 0.50 SNRbeam  9.73 SNRmean  2.92 SNRstdev  0.81 SNRminmax  1.43  5.63 amp: -0.9 -1 SAME : NOCONT   NONE stanum 60	sta ANVM ANPK ANNW ANNQ R16K PLBL P16K PLK5 PLK1 R17L PLK3 PLK2 KEL ANCK P17K ACH MGLS KABU KBM KVT KAB2 R18K KAVE KAKN KAWH Q18K KARR KAHG P18K O18K Q19K O19K AULG AUW AUWS AUSB AUCH AUJA AUJK AUL AUNO AU22 N19K ILCB ILSW ILS ILNE IVE ILLG O20K NCT RDWB RED RDSO RDJH RDDF HOM CNP BRLK BRSE notused ACH
 43 :   59.5484 -153.6550  709.28 :   59.3330 -153.4284  AUSB grid:   59.0000 -153.0000 ev:   -4.3300  143.1600   70.0 7.0 dist:   80.63 baz:  244.40 residPP(T/U/B)   -0.14 0.14 -2.00 predPP(T/U) 908.19 8.26 measPPBeam(T/U/AMP) 908.05 8.40 -0.311 measPPxf(T/U/F/rB/aB) 917.55 8.40 100.18 -2.00 -118.00 fmin 0.05 fmax 0.50 SNRbeam 14.74 SNRmean  3.25 SNRstdev  1.21 SNRminmax  1.44  7.86 amp: -0.9 -1 SAME : NOCONT   NONE stanum 69	sta PLBL P16K PLK5 PLK1 R17L PLK3 PLK2 KEL ANCK P17K ACH MGLS KABU KBM KVT KAB2 R18K KAVE KAKN KAWH Q18K KARR KAHG P18K O18K Q19K O19K AULG AUW AUWS AUSB AUCH AUJA AUJK AUL AUNO AU22 N19K ILCB ILSW ILS ILNE IVE ILLG O20K NCT RDWB RED RDSO RDJH RDDF HOM CNP SPNN SPCL SPBG SPCR N20K BRLK SPCN SPU BRSE SPCG SPBL STLK CAPN SLK SWD FIRE notused ACH
 57 :   60.9782 -158.0060  374.83 :   61.0224 -158.9593  M16K grid:   61.0000 -159.0000 ev:   -4.3300  143.1600   70.0 7.0 dist:   79.38 baz:  240.20 residPP(T/U/B)   -1.46 0.30 -2.00 predPP(T/U) 897.86 8.30 measPPBeam(T/U/AMP) 896.40 8.60 -0.257 measPPxf(T/U/F/rB/aB) 899.35 8.60  25.81 -2.00 -122.00 fmin 0.05 fmax 0.50 SNRbeam  8.38 SNRmean  3.64 SNRstdev  1.25 SNRminmax  2.67  4.98 amp: -0.9 -1 SAME : NOCONT   NONE stanum 18	sta O14K M14K L14K N15K P16K K15K M16K L16K P17K L17K P18K O18K J17K L18K O19K N19K TTA M19K notused J17K
 60 :   60.7949 -152.2400  736.98 :   61.3662 -152.7012  SPNN grid:   61.0000 -153.0000 ev:   -4.3300  143.1600   70.0 7.0 dist:   81.79 baz:  245.50 residPP(T/U/B)    0.41 0.38 -4.00 predPP(T/U) 917.79 8.22 measPPBeam(T/U/AMP) 918.20 8.60 -0.327 measPPxf(T/U/F/rB/aB) 927.70 8.60  96.17 -4.00 -118.00 fmin 0.05 fmax 0.50 SNRbeam  9.74 SNRmean  3.34 SNRstdev  1.22 SNRminmax  1.44  7.86 amp: -0.9 -1 SAME : NOCONT   NONE stanum 64	sta P18K O18K Q19K L18K O19K AULG AUW AUWS AUSB AUCH AUJA AUJK AUL AUNO AU22 N19K ILCB ILSW ILS ILNE IVE TTA ILLG O20K M19K NCT RDWB RED RDSO RDJH RDDF HOM CNP L20K SPNN SPCL SPBG SPCR N20K BRLK SPCN SPU BRSE SPCG K20K SPBL STLK CAPN SLK SKN SWD FIRE CAST RC01 L22K CUT KTH PMR PWL GHO KNK SAW WAT7 WAT1 notused AU22
 61 :   60.6596 -151.8550  747.50 :   60.7683 -151.1539  CAPN grid:   61.0000 -151.0000 ev:   -4.3300  143.1600   70.0 7.0 dist:   81.91 baz:  245.90 residPP(T/U/B)    0.30 0.18 -4.00 predPP(T/U) 918.75 8.22 measPPBeam(T/U/AMP) 919.05 8.40 -0.309 measPPxf(T/U/F/rB/aB) 928.30 8.40 101.39 -4.00 -118.00 fmin 0.05 fmax 0.50 SNRbeam 11.52 SNRmean  3.34 SNRstdev  1.24 SNRminmax  1.44  7.86 amp: -0.9 -1 SAME : NOCONT   NONE stanum 62	sta P18K O18K Q19K O19K AULG AUW AUWS AUSB AUCH AUJA AUJK AUL AUNO AU22 N19K ILCB ILSW ILS ILNE IVE ILLG O20K M19K NCT RDWB RED RDSO RDJH RDDF HOM CNP L20K SPNN SPCL SPBG SPCR N20K BRLK SPCN SPU BRSE SPCG SPBL STLK CAPN SLK SKN SWD FIRE RC01 L22K CUT PMR PWL GHO KNK SAW WAT7 WAT1 SCM WAT6 VMT notused AU22
 64 :   61.3556 -144.5140 1003.75 :   60.9677 -144.6051   BMR grid:   61.0000 -145.0000 ev:   -4.3300  143.1600   70.0 7.0 dist:   85.48 baz:  252.40 residPP(T/U/B)    2.18 0.51  0.00 predPP(T/U) 947.87 8.09 measPPBeam(T/U/AMP) 950.05 8.60 -0.361 measPPxf(T/U/F/rB/aB) 950.22 8.60  56.84 0.00 -108.00 fmin 0.05 fmax 0.50 SNRbeam 17.71 SNRmean  4.59 SNRstdev  1.40 SNRminmax  2.19  8.00 amp: -0.8 -1 SAME : NOCONT   NONE stanum 43	sta RC01 PMR PWL GHO KNK SAW Q23K SCM WAT6 VMT EYAK DHY DIV KLU PS12 PS11 BMR NICH SUCK HARP N25K PAX BERG BGLC WACK KHIT GLB VRDI CRQ CYK TGL MCAR MENT KIAG PTPK BAL L26K GRNC BARN M27K LOGN BVCY YUK3 YUK8 notused BAL
 65 :   61.1647 -142.9460 1072.73 :   60.7523 -143.0926   CRQ grid:   61.0000 -143.0000 ev:   -4.3300  143.1600   70.0 7.0 dist:   86.14 baz:  253.80 residPP(T/U/B)    2.50 0.13  0.00 predPP(T/U) 953.25 8.07 measPPBeam(T/U/AMP) 955.75 8.20 -0.381 measPPxf(T/U/F/rB/aB) 956.00 8.20  55.33 0.00 -106.00 fmin 0.05 fmax 0.50 SNRbeam 12.84 SNRmean  4.58 SNRstdev  1.55 SNRminmax  2.65  6.56 amp: -0.8 -1 SAME : NOCONT   NONE stanum 41	sta Q23K SCM VMT EYAK DIV KLU PS12 PS11 BMR NICH SUCK HARP N25K PAX BERG BGLC WACK KHIT GLB VRDI CRQ CYK TGL MCAR MENT KIAG PTPK BAL L26K GRNC BARN M27K LOGN YKU2 BVCY YUK3 PNL YUK8 BRWY YUK6 YUK4 YUK7 notused BAL
 66 :   61.1067 -142.2680 1156.94 :   60.8240 -141.0048  LOGN grid:   61.0000 -141.0000 ev:   -4.3300  143.1600   70.0 7.0 dist:   86.44 baz:  254.40 residPP(T/U/B)    2.59 0.14  0.00 predPP(T/U) 955.66 8.06 measPPBeam(T/U/AMP) 958.25 8.20 -0.386 measPPxf(T/U/F/rB/aB) 958.46 8.20  58.78 0.00 -106.00 fmin 0.05 fmax 0.50 SNRbeam 11.67 SNRmean  4.50 SNRstdev  1.74 SNRminmax  2.93  3.99 amp: -0.8 -1 SAME : NOCONT   NONE stanum 38	sta EYAK DIV KLU PS12 PS11 BMR NICH SUCK N25K BERG BGLC WACK KHIT GLB VRDI CRQ CYK TGL MCAR MENT KIAG PTPK BAL L26K GRNC BARN M27K LOGN YKU2 BVCY YUK3 PNL YUK8 BRWY YUK6 YUK4 YUK7 YUK5 HYT notused BAL
 67 :   60.9484 -141.1860 1316.57 :   61.3704 -139.0338  BRWY grid:   61.0000 -139.0000 ev:   -4.3300  143.1600   70.0 7.0 dist:   86.91 baz:  255.30 residPP(T/U/B)    1.90 -0.64 -2.00 predPP(T/U) 959.40 8.04 measPPBeam(T/U/AMP) 961.30 7.40 -0.405 measPPxf(T/U/F/rB/aB) 962.96 7.40  50.45 -2.00 -107.00 fmin 0.05 fmax 0.50 SNRbeam 10.68 SNRmean  4.32 SNRstdev  1.81 SNRminmax  3.19  3.99 amp: -0.8 -1 SAME : NOCONT   NONE stanum 26	sta BERG BGLC KHIT GLB VRDI CRQ CYK TGL MCAR KIAG PTPK BAL GRNC BARN M27K LOGN YKU2 BVCY YUK3 PNL YUK8 BRWY YUK6 YUK4 YUK7 YUK5 HYT notused BAL
 78 :   62.0433 -150.9190  852.61 :   62.5258 -150.7703  L22K grid:   63.0000 -151.0000 ev:   -4.3300  143.1600   70.0 7.0 dist:   82.88 baz:  246.60 residPP(T/U/B)    0.51 -0.39 -4.00 predPP(T/U) 926.69 8.19 measPPBeam(T/U/AMP) 927.20 7.80 -0.392 measPPxf(T/U/F/rB/aB) 929.08 7.80  79.26 -4.00 -117.00 fmin 0.05 fmax 0.50 SNRbeam  9.12 SNRmean  3.79 SNRstdev  1.27 SNRminmax  1.95  7.86 amp: -0.9 -1 SAME : NOCONT   NONE stanum 49	sta N19K TTA M19K NCT RDWB RED RDSO RDJH RDDF L20K SPNN SPCL SPBG SPCR N20K SPCN SPU SPCG K20K SPBL STLK CAPN J20K SLK SKN FIRE CAST RC01 CHUM L22K CUT KTH PMR PWL GHO BPAW KNK SAW WAT7 WAT1 RND MCK SCM WAT6 NEA2 DHY WRH PAX PS10 notused BPAW
 79 :   62.6440 -148.7610  759.56 :   62.8331 -148.8476  WAT7 grid:   63.0000 -149.0000 ev:   -4.3300  143.1600   70.0 7.0 dist:   84.03 baz:  248.40 residPP(T/U/B)    0.68 -0.14 -2.00 predPP(T/U) 936.12 8.14 measPPBeam(T/U/AMP) 936.80 8.00 -0.364 measPPxf(T/U/F/rB/aB) 938.73 8.00  66.82 -2.00 -114.00 fmin 0.05 fmax 0.50 SNRbeam 12.50 SNRmean  3.95 SNRstdev  1.32 SNRminmax  1.93  8.03 amp: -0.9 -1 SAME : NOCONT   NONE stanum 61	sta L20K SPNN SPCL SPBG SPCR N20K SPCN SPU SPCG K20K SPBL STLK CAPN SLK SKN FIRE CAST RC01 CHUM L22K CUT KTH PMR PWL GHO BPAW KNK SAW WAT7 MLY WAT1 RND MCK SCM WAT6 VMT NEA2 I23K DHY DIV KLU WRH MDM CCB PS12 PS11 HDA POKR PS08 HARP N25K PAX PS10 K24K WACK GRES GREN RIDG J25K MENT SCRK notused BPAW
 80 :   62.9669 -147.4240  738.52 :   63.0753 -147.3759   DHY grid:   63.0000 -147.0000 ev:   -4.3300  143.1600   70.0 7.0 dist:   84.72 baz:  249.60 residPP(T/U/B)   -1.65 0.08 -2.00 predPP(T/U) 941.70 8.12 measPPBeam(T/U/AMP) 940.05 8.20 -0.309 measPPxf(T/U/F/rB/aB) 944.18 8.20  47.67 -2.00 -112.00 fmin 0.05 fmax 0.50 SNRbeam 15.76 SNRmean  3.87 SNRstdev  1.22 SNRminmax  1.92  8.01 amp: -0.9 -1 SAME : NOCONT   NONE stanum 51	sta SKN FIRE CAST RC01 CHUM L22K CUT KTH PMR PWL GHO BPAW KNK SAW WAT7 MLY WAT1 RND MCK SCM WAT6 VMT NEA2 I23K DHY DIV KLU WRH MDM CCB PS12 PS11 BMR HDA POKR PS08 HARP N25K PAX PS10 K24K WACK GRES GREN GLB RIDG J25K MENT L26K SCRK J26L notused BMR
 81 :   62.7209 -145.9470  852.70 :   62.9699 -145.4699   PAX grid:   63.0000 -145.0000 ev:   -4.3300  143.1600   70.0 7.0 dist:   85.27 baz:  251.00 residPP(T/U/B)    1.72 0.50  2.00 predPP(T/U) 946.18 8.10 measPPBeam(T/U/AMP) 947.90 8.60 -0.337 measPPxf(T/U/F/rB/aB) 948.43 8.60  58.67 2.00 -107.00 fmin 0.05 fmax 0.50 SNRbeam 16.46 SNRmean  4.19 SNRstdev  1.37 SNRminmax  1.92  8.00 amp: -0.9 -1 SAME : NOCONT   NONE stanum 50	sta L22K CUT PMR GHO KNK SAW WAT7 WAT1 RND MCK SCM WAT6 VMT NEA2 EYAK DHY DIV KLU WRH MDM CCB PS12 PS11 BMR HDA POKR PS08 HARP N25K PAX PS10 K24K WACK GRES GREN GLB VRDI CRQ RIDG J25K MCAR MENT PTPK BAL L26K SCRK J26L M27K K27K BVCY notused BAL
 82 :   62.4306 -144.1090 1085.53 :   63.0254 -143.3478  L26K grid:   63.0000 -143.0000 ev:   -4.3300  143.1600   70.0 7.0 dist:   85.98 baz:  252.70 residPP(T/U/B)    2.35 0.12  0.00 predPP(T/U) 951.95 8.07 measPPBeam(T/U/AMP) 954.30 8.20 -0.337 measPPxf(T/U/F/rB/aB) 954.71 8.20  53.60 0.00 -107.00 fmin 0.05 fmax 0.50 SNRbeam 11.46 SNRmean  4.41 SNRstdev  1.44 SNRminmax  1.92  8.00 amp: -0.9 -1 SAME : NOCONT   NONE stanum 44	sta WAT1 SCM WAT6 VMT DHY DIV KLU PS12 PS11 BMR HDA PS08 HARP N25K PAX PS10 K24K WACK GRES GREN GLB VRDI CRQ RIDG TGL J25K MCAR MENT KIAG PTPK BAL L26K SCRK GRNC BARN J26L M27K LOGN I26K K27K BVCY YUK3 YUK8 DAWY notused BAL
 92 :   64.6679 -155.8760  362.40 :   64.7461 -156.8792  GCSA grid:   65.0000 -157.0000 ev:   -4.3300  143.1600   70.0 7.0 dist:   82.02 baz:  241.70 residPP(T/U/B)   -0.58 0.19  0.00 predPP(T/U) 919.68 8.21 measPPBeam(T/U/AMP) 919.10 8.40 -0.369 measPPxf(T/U/F/rB/aB) 921.89 8.40  73.44 0.00 -118.00 fmin 0.05 fmax 0.50 SNRbeam  8.95 SNRmean  3.45 SNRstdev  0.85 SNRminmax  2.25  5.73 amp: -0.9 -1 SAME : NOCONT   NONE stanum 15	sta H16K J17K G17K TTA F18K GCSA J19K K20K J20K H20K CAST CHUM F20K H21K I21K notused CAST
 93 :   65.1897 -153.3530  389.53 :   65.4924 -154.8808  H20K grid:   65.0000 -155.0000 ev:   -4.3300  143.1600   70.0 7.0 dist:   83.21 baz:  244.00 residPP(T/U/B)   -0.42 0.03  2.00 predPP(T/U) 929.42 8.17 measPPBeam(T/U/AMP) 929.00 8.20 -0.424 measPPxf(T/U/F/rB/aB) 931.54 8.20 107.95 2.00 -114.00 fmin 0.05 fmax 0.50 SNRbeam 14.60 SNRmean  3.33 SNRstdev  0.82 SNRminmax  2.25  5.73 amp: -0.9 -1 SAME : NOCONT   NONE stanum 19	sta G17K F18K GCSA J19K K20K J20K H20K CAST CHUM F20K H21K BPAW I21K MLY H22K I23K PS06 PS05 G23K notused BPAW
 95 :   64.6564 -149.6240  579.79 :   65.0304 -150.7442   MLY grid:   65.0000 -151.0000 ev:   -4.3300  143.1600   70.0 7.0 dist:   84.43 baz:  247.50 residPP(T/U/B)    2.27 -0.13 -4.00 predPP(T/U) 939.38 8.13 measPPBeam(T/U/AMP) 941.65 8.00 -0.358 measPPxf(T/U/F/rB/aB) 942.00 8.00  67.38 -4.00 -117.00 fmin 0.05 fmax 0.50 SNRbeam 10.48 SNRmean  3.49 SNRstdev  0.86 SNRminmax  1.92  5.73 amp: -0.9 -1 SAME : NOCONT   NONE stanum 35	sta J19K K20K J20K H20K CAST CHUM KTH H21K BPAW I21K WAT7 MLY WAT1 H22K RND MCK NEA2 I23K DHY PS06 PS05 WRH G23K MDM CCB COLD HDA POKR PS08 H24K K24K GRES GREN G24K J25K notused BPAW
 96 :   64.7043 -148.9720  586.16 :   65.1479 -149.3603  I23K grid:   65.0000 -149.0000 ev:   -4.3300  143.1600   70.0 7.0 dist:   84.71 baz:  248.10 residPP(T/U/B)    2.08 0.08 -4.00 predPP(T/U) 941.62 8.12 measPPBeam(T/U/AMP) 943.70 8.20 -0.358 measPPxf(T/U/F/rB/aB) 944.38 8.20  62.62 -4.00 -116.00 fmin 0.05 fmax 0.50 SNRbeam 13.51 SNRmean  3.57 SNRstdev  0.94 SNRminmax  1.92  6.03 amp: -0.9 -1 SAME : NOCONT   NONE stanum 36	sta J20K H20K CAST CHUM KTH H21K BPAW I21K WAT7 MLY WAT1 H22K RND MCK NEA2 I23K DHY PS06 PS05 WRH G23K MDM CCB COLD HDA POKR PS08 H24K PS10 K24K GRES GREN G24K RIDG J25K FYU notused BPAW
 97 :   64.7006 -147.8860  645.88 :   65.1171 -147.4335  POKR grid:   65.0000 -147.0000 ev:   -4.3300  143.1600   70.0 7.0 dist:   85.14 baz:  249.10 residPP(T/U/B)    2.08 0.09 -4.00 predPP(T/U) 945.12 8.11 measPPBeam(T/U/AMP) 947.20 8.20 -0.344 measPPxf(T/U/F/rB/aB) 947.78 8.20  55.85 -4.00 -115.00 fmin 0.05 fmax 0.50 SNRbeam 13.55 SNRmean  3.56 SNRstdev  0.85 SNRminmax  1.92  6.02 amp: -0.9 -1 SAME : NOCONT   NONE stanum 38	sta CHUM KTH H21K BPAW I21K WAT7 MLY WAT1 H22K RND MCK NEA2 I23K DHY PS06 PS05 WRH G23K MDM CCB COLD HDA POKR PS08 H24K PAX PS10 K24K GRES GREN G24K RIDG J25K SCRK FYU J26L I26K I27K notused BPAW
 98 :   64.2479 -146.6120  706.30 :   64.6130 -145.3697  J25K grid:   65.0000 -145.0000 ev:   -4.3300  143.1600   70.0 7.0 dist:   85.49 baz:  250.30 residPP(T/U/B)   -1.16 0.31  0.00 predPP(T/U) 948.01 8.09 measPPBeam(T/U/AMP) 946.85 8.40 -0.330 measPPxf(T/U/F/rB/aB) 950.81 8.40  37.75 0.00 -110.00 fmin 0.05 fmax 0.50 SNRbeam 13.36 SNRmean  3.78 SNRstdev  1.24 SNRminmax  1.92  8.00 amp: -0.9 -1 SAME : NOCONT   NONE stanum 35	sta BPAW WAT7 MLY WAT1 RND MCK WAT6 NEA2 I23K DHY PS06 WRH MDM CCB HDA POKR PS08 HARP H24K PAX PS10 K24K GRES GREN G24K RIDG J25K MENT L26K SCRK FYU J26L I26K K27K I27K notused BPAW
 99 :   64.6250 -145.0680  636.54 :   65.3064 -143.1541  I26K grid:   65.0000 -143.0000 ev:   -4.3300  143.1600   70.0 7.0 dist:   86.25 baz:  251.60 residPP(T/U/B)   -0.54 0.54  0.00 predPP(T/U) 954.09 8.06 measPPBeam(T/U/AMP) 953.55 8.60 -0.367 measPPxf(T/U/F/rB/aB) 956.51 8.60  27.11 0.00 -108.00 fmin 0.05 fmax 0.50 SNRbeam 11.40 SNRmean  3.79 SNRstdev  1.62 SNRminmax  1.92  8.00 amp: -0.9 -1 SAME : NOCONT   NONE stanum 24	sta WRH MDM CCB HDA POKR PS08 H24K PS10 K24K GRES GREN G24K RIDG J25K MENT L26K SCRK FYU J26L I26K K27K I27K G27K DAWY notused CCB
112 :   66.3750 -150.1110  508.78 :   66.8133 -150.6646  PS05 grid:   67.0000 -151.0000 ev:   -4.3300  143.1600   70.0 7.0 dist:   84.91 baz:  246.90 residPP(T/U/B)   -0.73 0.09 -2.00 predPP(T/U) 943.28 8.11 measPPBeam(T/U/AMP) 942.55 8.20 -0.436 measPPxf(T/U/F/rB/aB) 946.41 8.20  55.63 -2.00 -115.00 fmin 0.05 fmax 0.50 SNRbeam  8.63 SNRmean  3.47 SNRstdev  0.86 SNRminmax  2.42  6.03 amp: -0.9 -1 SAME : NOCONT   NONE stanum 23	sta H20K F20K H21K I21K MLY H22K NEA2 I23K PS06 PS05 E22K D22K G23K MDM CCB COLD POKR H24K PS04 TOLK G24K E24K FYU notused CCB
