  4 :   55.6972 -160.6390  581.69 :   55.1909 -162.7877  BLDW grid:   55.0000 -163.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:   93.48 baz:  264.40 residPP(T/U/B)   -4.40 -0.25 -10.00 predPP(T/U) 966.45 7.65 measPPBeam(T/U/AMP) 962.05 7.40 -0.507 measPPxf(T/U/F/rB/aB) 976.42 7.40  27.40 -10.00 -106.00 fmin 0.05 fmax 0.50 SNRbeam  4.07 SNRmean  3.06 SNRstdev  0.88 SNRminmax  2.08  5.20 amp: -0.8 -1 SAME : NOCONT   NONE stanum 14	sta BLDW DT1 DTN PN7A DOL PS1A SDPT VNSW VNWF VNCG VNKR VNSO VNBL VNSG notused BLDW
 23 :   57.2459 -157.4780  596.55 :   56.9517 -158.6502  PTHD grid:   57.0000 -159.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:   95.33 baz:  267.10 residPP(T/U/B)   -5.69 -0.39 -6.00 predPP(T/U) 980.59 7.59 measPPBeam(T/U/AMP) 974.90 7.20 -0.398 measPPxf(T/U/F/rB/aB) 978.00 7.20  31.21 -6.00 -99.00 fmin 0.05 fmax 0.50 SNRbeam  5.99 SNRmean  2.99 SNRstdev  1.07 SNRminmax  1.88  5.92 amp: -0.8 -1 SAME : NOCONT   NONE stanum 35	sta PN7A PS1A SDPT VNSW VNWF VNCG VNKR VNSO VNBL VNSG BPPC PTHD ANNW ANVM ANPK ANNQ P16K R16K PLK5 PLBL PLK1 R17L PLK2 PLK3 KEL ANCK ACH KVT KABU KBM MGLS KAKN KAVE KAB2 R18K notused ACH
 42 :   59.0286 -154.4300  697.38 :   58.6484 -155.0086  Q18K grid:   59.0000 -155.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:   96.99 baz:  269.90 residPP(T/U/B)   -2.24 -1.33 -4.00 predPP(T/U) 993.09 7.53 measPPBeam(T/U/AMP) 990.85 6.20 -0.490 measPPxf(T/U/F/rB/aB) 991.08 6.20 104.77 -4.00 -94.00 fmin 0.05 fmax 0.50 SNRbeam  3.74 SNRmean  3.76 SNRstdev  1.26 SNRminmax  1.89  5.92 amp: -0.8 -1 SAME : NOCONT   NONE stanum 60	sta ANNW ANVM ANPK ANNQ P16K R16K PLK5 PLBL PLK1 R17L P17K PLK2 PLK3 KEL ANCK ACH KVT KABU KBM P18K O18K MGLS KAKN KAVE Q18K KAB2 KAWH KARR KAHG N19K R18K O19K Q19K AULG AUW AUWS AUNO AUCH AUL AUSB AUJA AUJK AU22 ILSW ILS ILNE IVE ILCB ILLG NCT RDWB RDJH RED RDSO RDDF REF O20K RDT HOM CNP BRLK BRSE notused ACH
 43 :   59.5761 -153.6240  725.73 :   59.3330 -153.4284  AUSB grid:   59.0000 -153.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:   97.40 baz:  270.70 residPP(T/U/B)   -2.56 -1.31 -4.00 predPP(T/U) 996.16 7.51 measPPBeam(T/U/AMP) 993.60 6.20 -0.520 measPPxf(T/U/F/rB/aB) 993.89 6.20  97.41 -4.00 -93.00 fmin 0.05 fmax 0.50 SNRbeam  3.67 SNRmean  4.42 SNRstdev  1.90 SNRminmax  1.89  9.49 amp: -0.8 -1 SAME : NOCONT   NONE stanum 69	sta P16K PLK5 PLBL PLK1 R17L P17K PLK2 PLK3 KEL ANCK ACH KVT KABU KBM P18K O18K MGLS KAKN KAVE Q18K KAB2 KAWH KARR KAHG N19K R18K O19K Q19K AULG AUW AUWS AUNO AUCH AUL AUSB AUJA AUJK AU22 ILSW ILS ILNE IVE ILCB ILLG NCT RDWB RDJH RED SPNN RDSO RDDF REF O20K SPBG RDT SPCL SPCR N20K SPCN SPU SPCG SPBL STLK HOM CAPN CNP BRLK BRSE FIRE SLK SWD notused ACH
 57 :   60.9215 -158.1100  385.11 :   61.0224 -158.9593  M16K grid:   61.0000 -159.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:   95.20 baz:  266.90 residPP(T/U/B)    5.08 -0.19 -4.00 predPP(T/U) 979.57 7.59 measPPBeam(T/U/AMP) 984.65 7.40 -0.516 measPPxf(T/U/F/rB/aB) 985.90 7.40  25.69 -4.00 -97.00 fmin 0.05 fmax 0.50 SNRbeam  7.74 SNRmean  4.29 SNRstdev  0.83 SNRminmax  3.05  5.99 amp: -0.9 -1 SAME : NOCONT   NONE stanum 17	sta L14K M14K O14K K15K N15K L16K M16K J17K P16K L17K P17K TTA P18K O18K L19K N19K O19K notused J17K
 60 :   60.8098 -152.1590  776.74 :   61.3662 -152.7012  SPNN grid:   61.0000 -153.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:   98.09 baz:  272.10 residPP(T/U/B)    0.05 0.11 -10.00 predPP(T/U) 1001.40 7.49 measPPBeam(T/U/AMP) 1001.45 7.60 -0.419 measPPxf(T/U/F/rB/aB) 1001.48 7.60  64.30 -10.00 -98.00 fmin 0.05 fmax 0.50 SNRbeam  9.35 SNRmean  5.55 SNRstdev  2.08 SNRminmax  3.29  9.47 amp: -0.9 -1 SAME : NOCONT   NONE stanum 64	sta TTA P18K O18K L19K N19K O19K K20K L20K Q19K AULG AUW AUWS AUNO AUCH AUL AUSB AUJA AUJK AU22 ILSW ILS ILNE IVE ILCB ILLG NCT RDWB RDJH RED SPNN RDSO RDDF REF O20K SPBG RDT SPCL CAST SPCR N20K SPCN SPU SPCG SPBL STLK SKN HOM KTH CAPN CNP L22K BRLK TRF BRSE CUT FIRE SLK RC01 SWD PMR WAT7 GHO WAT1 KNK SAW PWL notused AU22
 61 :   60.6599 -151.8840  766.56 :   60.7683 -151.1539  CAPN grid:   61.0000 -151.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:   98.24 baz:  272.30 residPP(T/U/B)   -5.45 -2.48  4.00 predPP(T/U) 1002.45 7.48 measPPBeam(T/U/AMP) 997.00 5.00 -0.445 measPPxf(T/U/F/rB/aB) 998.10 5.00  67.15 4.00 -84.00 fmin 0.05 fmax 0.50 SNRbeam  2.22 SNRmean  5.55 SNRstdev  2.14 SNRminmax  3.29  9.48 amp: -0.9 -1 SAME : NOCONT   NONE stanum 62	sta P18K O18K L19K N19K O19K L20K Q19K AULG AUW AUWS AUNO AUCH AUL AUSB AUJA AUJK AU22 ILSW ILS ILNE IVE ILCB ILLG NCT RDWB RDJH RED SPNN RDSO RDDF REF O20K SPBG RDT SPCL SPCR N20K SPCN SPU SPCG SPBL STLK SKN HOM CAPN CNP L22K BRLK BRSE CUT FIRE SLK RC01 SWD PMR WAT7 GHO WAT1 KNK SAW PWL WAT6 SCM VMT notused AU22
 64 :   61.3000 -144.3890 1020.98 :   60.9677 -144.6051   BMR grid:   61.0000 -145.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:  101.79 baz:  279.10 residPP(T/U/B)    0.23 0.04  2.00 predPP(T/U) 1028.82 7.36 measPPBeam(T/U/AMP) 1029.05 7.40 -0.455 measPPxf(T/U/F/rB/aB) 1034.08 7.40  53.23 2.00 -79.00 fmin 0.05 fmax 0.50 SNRbeam 26.48 SNRmean  7.71 SNRstdev  3.46 SNRminmax  1.38 15.39 amp: -0.9 -1 SAME : NOCONT   NONE stanum 45	sta RC01 PMR GHO KNK SAW PWL WAT6 DHY SCM VMT KLU PAX Q23K DIV PS11 EYAK HARP PS12 N25K WACK BMR MENT L26K GLB NICH VRDI BERG SUCK MCAR KHIT CRQ BGLC TGL WAX PTPK M27K BAL KIAG BARK ISLE CYK BARN GRNC BVCY LOGN YUK3 YUK8 notused BAL
 65 :   61.1193 -142.9200 1086.12 :   60.7523 -143.0926   CRQ grid:   61.0000 -143.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:  102.52 baz:  280.30 residPP(T/U/B)    0.69 -0.33 -6.00 predPP(T/U) 1034.16 7.33 measPPBeam(T/U/AMP) 1034.85 7.00 -0.482 measPPxf(T/U/F/rB/aB) 1035.56 7.00  58.76 -6.00 -86.00 fmin 0.05 fmax 0.50 SNRbeam 26.98 SNRmean  7.87 SNRstdev  3.69 SNRminmax  1.38 16.07 amp: -0.9 -1 SAME : NOCONT   NONE stanum 43	sta SCM VMT KLU PAX Q23K DIV PS11 EYAK HARP PS12 N25K WACK BMR MENT L26K GLB NICH VRDI BERG SUCK MCAR KHIT CRQ BGLC TGL WAX PTPK M27K BAL KIAG BARK ISLE CYK BARN GRNC BVCY LOGN YUK3 YUK8 BRWY YKU2 YUK4 PNL YUK6 YUK7 notused BAL
 66 :   61.0623 -142.2890 1165.28 :   60.8240 -141.0048  LOGN grid:   61.0000 -141.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:  102.83 baz:  280.90 residPP(T/U/B)    0.41 -0.12  0.00 predPP(T/U) 1036.44 7.32 measPPBeam(T/U/AMP) 1036.85 7.20 -0.473 measPPxf(T/U/F/rB/aB) 1041.93 7.20  69.93 0.00 -79.00 fmin 0.05 fmax 0.50 SNRbeam 29.01 SNRmean  7.93 SNRstdev  3.95 SNRminmax  6.34 11.92 amp: -0.9 -1 SAME : NOCONT   NONE stanum 40	sta KLU DIV PS11 EYAK PS12 N25K WACK BMR MENT L26K GLB NICH VRDI BERG SUCK MCAR KHIT CRQ BGLC TGL WAX PTPK M27K BAL KIAG BARK ISLE CYK BARN GRNC BVCY LOGN YUK3 YUK8 BRWY YKU2 YUK4 PNL YUK6 YUK5 YUK7 HYT notused BAL
 67 :   60.9020 -141.3230 1312.28 :   61.3704 -139.0338  BRWY grid:   61.0000 -139.0000 ev:   -6.0300  112.0300  594.0 7.0 dist:  103.32 baz:  281.70 residPP(T/U/B)    3.17 -0.10  0.00 predPP(T/U) 1040.03 7.30 measPPBeam(T/U/AMP) 1043.20 7.20 -0.515 measPPxf(T/U/F/rB/aB) 1045.35 7.20  62.35 0.00 -78.00 fmin 0.05 fmax 0.50 SNRbeam 24.48 SNRmean  7.91 SNRstdev  4.01 SNRminmax  6.37 12.42 amp: -0.9 -1 SAME : NOCONT   NONE stanum 28	sta GLB VRDI BERG MCAR KHIT CRQ BGLC TGL WAX PTPK M27K BAL KIAG BARK ISLE CYK BARN GRNC BVCY LOGN YUK3 YUK8 BRWY YKU2 YUK4 PNL YUK6 YUK5 YUK7 HYT notused BAL
