  4 :   55.6972 -160.6390  581.69 :   55.1909 -162.7877  BLDW grid:   55.0000 -163.0000 ev:  -22.3200  179.4300  596.4 6.7 dist:   79.84 baz:  198.70 residPP(T/U/B)   -0.83 0.48 -8.00 predPP(T/U) 858.73 8.12 measPPBeam(T/U/AMP) 857.90 8.60 -0.358 measPPxf(T/U/F/rB/aB) 859.92 8.60  14.14 -8.00 -169.00 fmin 0.05 fmax 0.50 SNRbeam  3.91 SNRmean  2.65 SNRstdev  0.71 SNRminmax  1.27  3.61 amp: -0.9 -1 SAME : NOCONT   NONE stanum 14	sta BLDW DT1 DTN DOL PN7A PS1A SDPT VNKR VNSW VNSO VNWF VNCG VNSG VNBL notused BLDW
 23 :   57.2459 -157.4780  596.55 :   56.9517 -158.6502  PTHD grid:   57.0000 -159.0000 ev:  -22.3200  179.4300  596.4 6.7 dist:   81.89 baz:  201.50 residPP(T/U/B)   -4.39 -1.65 -12.00 predPP(T/U) 875.34 8.05 measPPBeam(T/U/AMP) 870.95 6.40 -0.218 measPPxf(T/U/F/rB/aB) 873.44 6.40  16.48 -12.00 -171.00 fmin 0.05 fmax 0.50 SNRbeam  3.31 SNRmean  2.80 SNRstdev  0.74 SNRminmax  1.27  3.96 amp: -0.9 -1 SAME : NOCONT   NONE stanum 35	sta PN7A PS1A SDPT VNKR VNSW VNSO VNWF VNCG VNSG VNBL BPPC ANPK PTHD ANVM ANNQ ANNW R16K PLBL R17L PLK3 PLK1 PLK2 PLK5 R18K ANCK MGLS ACH KAB2 KAVE KABU KBM KEL KAKN KVT P16K notused ACH
 42 :   58.9598 -154.5240  673.50 :   58.6484 -155.0086  Q18K grid:   59.0000 -155.0000 ev:  -22.3200  179.4300  596.4 6.7 dist:   84.08 baz:  204.10 residPP(T/U/B)  -12.59 -2.38  2.00 predPP(T/U) 892.84 7.98 measPPBeam(T/U/AMP) 880.25 5.60 -0.175 measPPxf(T/U/F/rB/aB) 883.03 5.60  22.57 2.00 -154.00 fmin 0.05 fmax 0.50 SNRbeam  2.73 SNRmean  2.96 SNRstdev  0.73 SNRminmax  1.74  4.69 amp: -0.9 -1 SAME : NOCONT   NONE stanum 59	sta ANPK ANVM ANNQ ANNW R16K PLBL R17L PLK3 PLK1 PLK2 PLK5 R18K ANCK MGLS ACH KAB2 KAVE KABU KBM KEL KAKN KVT P16K KAWH KARR KAHG Q18K P17K Q19K P18K AUSB AUJA AUJK AUWS AULG AUCH AUW AUL AU22 AUNO O18K ILCB O19K ILS ILSW CNP HOM IVE ILNE ILLG BRLK BRSE RED N19K RDSO RDWB NCT RDJH RDDF notused ACH
 43 :   59.5132 -153.6970  702.96 :   59.3330 -153.4284  AUSB grid:   59.0000 -153.0000 ev:  -22.3200  179.4300  596.4 6.7 dist:   84.76 baz:  204.80 residPP(T/U/B)  -13.70 -2.16 24.00 predPP(T/U) 898.25 7.96 measPPBeam(T/U/AMP) 884.55 5.80 -0.140 measPPxf(T/U/F/rB/aB) 888.32 5.80  25.46 24.00 -131.00 fmin 0.05 fmax 0.50 SNRbeam  3.32 SNRmean  2.90 SNRstdev  0.76 SNRminmax  1.38  4.69 amp: -0.9 -1 SAME : NOCONT   NONE stanum 67	sta PLBL R17L PLK3 PLK1 PLK2 PLK5 R18K ANCK MGLS ACH KAB2 KAVE KABU KBM KEL KAKN KVT P16K KAWH KARR KAHG Q18K P17K Q19K P18K AUSB AUJA AUJK AUWS AULG AUCH AUW AUL AU22 AUNO O18K ILCB O19K ILS ILSW CNP HOM IVE ILNE ILLG BRLK BRSE RED N19K RDSO RDWB NCT RDJH RDDF SWD SLK CAPN SPCL N20K SPCR SPU SPBG SPCN SPNN SPCG STLK FIRE notused ACH
 60 :   60.7704 -152.1200  756.34 :   61.3662 -152.7012  SPNN grid:   61.0000 -153.0000 ev:  -22.3200  179.4300  596.4 6.7 dist:   86.23 baz:  206.20 residPP(T/U/B)   -2.78 -2.31 -8.00 predPP(T/U) 909.93 7.91 measPPBeam(T/U/AMP) 907.15 5.60 -0.160 measPPxf(T/U/F/rB/aB) 900.35 5.60  15.92 -8.00 -162.00 fmin 0.05 fmax 0.50 SNRbeam  1.71 SNRmean  2.89 SNRstdev  0.75 SNRminmax  1.38  4.69 amp: -0.9 -1 SAME : NOCONT   NONE stanum 61	sta Q19K P18K AUSB AUJA AUJK AUWS AULG AUCH AUW AUL AU22 AUNO O18K ILCB O19K ILS ILSW CNP HOM IVE ILNE ILLG BRLK BRSE RED N19K RDSO RDWB NCT RDJH RDDF SWD SLK CAPN SPCL N20K SPCR SPU SPBG SPCN SPNN SPCG M19K STLK L19K FIRE RC01 PWL TTA SKN PMR KNK GHO SAW L22K CUT CAST WAT7 WAT1 KTH TRF notused AU22
 61 :   60.6523 -151.8580  741.33 :   60.7683 -151.1539  CAPN grid:   61.0000 -151.0000 ev:  -22.3200  179.4300  596.4 6.7 dist:   86.18 baz:  206.40 residPP(T/U/B)  -10.99 -2.31 -6.00 predPP(T/U) 909.54 7.91 measPPBeam(T/U/AMP) 898.55 5.60 -0.162 measPPxf(T/U/F/rB/aB) 900.12 5.60  20.88 -6.00 -160.00 fmin 0.05 fmax 0.50 SNRbeam  1.86 SNRmean  2.86 SNRstdev  0.77 SNRminmax  1.23  4.68 amp: -0.9 -1 SAME : NOCONT   NONE stanum 60	sta Q19K P18K AUSB AUJA AUJK AUWS AULG AUCH AUW AUL AU22 AUNO O18K ILCB O19K ILS ILSW CNP HOM IVE ILNE ILLG BRLK BRSE RED N19K RDSO RDWB NCT RDJH RDDF SWD SLK CAPN SPCL N20K SPCR SPU SPBG SPCN SPNN SPCG M19K STLK L19K FIRE RC01 PWL SKN PMR KNK GHO VMT SAW L22K CUT SCM WAT7 WAT6 WAT1 notused AU22
 64 :   61.3644 -144.5300 1001.71 :   60.9677 -144.6051   BMR grid:   61.0000 -145.0000 ev:  -22.3200  179.4300  596.4 6.7 dist:   88.56 baz:  213.00 residPP(T/U/B)   -2.29 -2.42  0.00 predPP(T/U) 928.24 7.82 measPPBeam(T/U/AMP) 925.95 5.40 -0.210 measPPxf(T/U/F/rB/aB) 929.43 5.40  17.35 0.00 -147.00 fmin 0.05 fmax 0.50 SNRbeam  1.95 SNRmean  2.66 SNRstdev  0.81 SNRminmax  1.23  4.21 amp: -0.9 -1 SAME : NOCONT   NONE stanum 43	sta Q23K RC01 PWL EYAK PMR KNK SUCK NICH GHO VMT BGLC SAW DIV CYK KHIT BMR SCM KLU CRQ PS12 TGL ISLE VRDI N25K KIAG GRNC WAT6 GLB BAL PS11 MCAR LOGN BARN WACK HARP DHY PAX YUK8 YUK3 MENT M27K L26K BVCY notused BAL
 65 :   61.2107 -143.0060 1098.82 :   60.7523 -143.0926   CRQ grid:   61.0000 -143.0000 ev:  -22.3200  179.4300  596.4 6.7 dist:   88.84 baz:  214.30 residPP(T/U/B)   -2.06 -2.41  2.00 predPP(T/U) 930.41 7.81 measPPBeam(T/U/AMP) 928.35 5.40 -0.213 measPPxf(T/U/F/rB/aB) 935.46 5.40  17.91 2.00 -144.00 fmin 0.05 fmax 0.50 SNRbeam  2.32 SNRmean  2.65 SNRstdev  0.81 SNRminmax  1.23  4.21 amp: -0.9 -1 SAME : NOCONT   NONE stanum 40	sta Q23K EYAK SUCK NICH VMT BGLC DIV CYK KHIT BMR SCM KLU CRQ PS12 TGL ISLE PNL VRDI N25K KIAG GRNC GLB BAL PS11 MCAR LOGN BARN WACK HARP PAX YUK7 YUK8 YUK6 YUK3 MENT M27K BRWY L26K YUK4 BVCY notused BAL
 66 :   61.1533 -142.2960 1189.70 :   60.8240 -141.0048  LOGN grid:   61.0000 -141.0000 ev:  -22.3200  179.4300  596.4 6.7 dist:   88.98 baz:  215.00 residPP(T/U/B)    2.79 -2.41  0.00 predPP(T/U) 931.56 7.81 measPPBeam(T/U/AMP) 934.35 5.40 -0.216 measPPxf(T/U/F/rB/aB) 930.15 5.40  17.48 0.00 -145.00 fmin 0.05 fmax 0.50 SNRbeam  2.07 SNRmean  2.69 SNRstdev  0.82 SNRminmax  1.58  4.21 amp: -0.9 -1 SAME : NOCONT   NONE stanum 36	sta EYAK SUCK NICH BGLC DIV CYK KHIT BMR KLU CRQ PS12 TGL ISLE PNL VRDI N25K KIAG GRNC GLB BAL PS11 MCAR LOGN BARN WACK YUK7 YUK8 YUK6 YUK3 MENT M27K BRWY HYT L26K YUK5 YUK4 BVCY notused BAL
 67 :   61.0047 -141.1410 1377.83 :   61.3704 -139.0338  BRWY grid:   61.0000 -139.0000 ev:  -22.3200  179.4300  596.4 6.7 dist:   89.19 baz:  216.00 residPP(T/U/B)    3.25 -2.20 -4.00 predPP(T/U) 933.15 7.80 measPPBeam(T/U/AMP) 936.40 5.60 -0.226 measPPxf(T/U/F/rB/aB) 933.08 5.60  12.02 -4.00 -148.00 fmin 0.05 fmax 0.50 SNRbeam  2.36 SNRmean  2.68 SNRstdev  0.85 SNRminmax  1.85  4.21 amp: -0.9 -1 SAME : NOCONT   NONE stanum 24	sta BGLC CYK KHIT CRQ TGL ISLE PNL VRDI KIAG GRNC GLB BAL MCAR LOGN BARN YUK7 YUK8 YUK6 YUK3 M27K BRWY HYT YUK5 YUK4 BVCY notused BAL
 78 :   62.0529 -150.8400  874.83 :   62.5258 -150.7703  L22K grid:   63.0000 -151.0000 ev:  -22.3200  179.4300  596.4 6.7 dist:   87.65 baz:  207.30 residPP(T/U/B)   -7.27 -2.46  0.00 predPP(T/U) 921.12 7.86 measPPBeam(T/U/AMP) 913.85 5.40 -0.168 measPPxf(T/U/F/rB/aB) 916.73 5.40  17.82 0.00 -153.00 fmin 0.05 fmax 0.50 SNRbeam  2.08 SNRmean  2.65 SNRstdev  0.75 SNRminmax  1.24  4.55 amp: -0.9 -1 SAME : NOCONT   NONE stanum 48	sta RED N19K RDSO RDWB NCT RDJH RDDF SLK CAPN SPCL N20K SPCR SPU SPBG SPCN SPNN SPCG M19K STLK L19K FIRE RC01 PWL TTA SKN PMR KNK GHO SAW L22K CUT SCM CAST WAT7 WAT6 WAT1 J20K KTH CHUM TRF RND DHY BPAW MCK PAX PS10 NEA2 WRH notused BPAW
